# hh_cnexp_0130.txt
# dt = 130 [usec]
# t [usec], V [mV]
0, -65.000000
130, -64.996377
260, -64.992973
390, -64.989736
520, -64.986638
649, -64.983668
779, -64.980819
909, -64.978088
1039, -64.975477
1169, -64.972985
1299, -64.970613
1429, -64.968362
1559, -64.966232
1689, -64.964225
1819, -64.962339
1949, -64.960575
2079, -64.958933
2209, -64.957410
2339, -64.956006
2469, -64.954719
2599, -64.953548
2729, -64.952491
2859, -64.951544
2989, -64.950707
3119, -64.949976
3249, -64.949348
3379, -64.948821
3509, -64.948390
3639, -64.948053
3769, -64.947807
3899, -64.947648
4029, -64.947572
4159, -64.947575
4289, -64.947655
4420, -64.947806
4550, -64.948026
4680, -64.948310
4810, -64.948654
4940, -64.949055
5070, -64.949509
5200, -64.950012
5330, -64.950560
5460, -64.951149
5590, -64.951777
5720, -64.952438
5850, -64.953130
5980, -64.953849
6110, -64.954592
6240, -64.955355
6370, -64.956136
6500, -64.956930
6630, -64.957736
6760, -64.958550
6890, -64.959370
7020, -64.960192
7150, -64.961014
7280, -64.961835
7410, -64.962650
7540, -64.963459
7670, -64.964260
7800, -64.965049
7930, -64.965827
8060, -64.966590
8190, -64.967337
8320, -64.968067
8450, -64.968779
8580, -64.969470
8710, -64.970141
8840, -64.970791
8970, -64.971417
9100, -64.972020
9230, -64.972600
9360, -64.973154
9490, -64.973683
9620, -64.974187
9750, -64.974666
9880, -64.975118
10010, -64.975544
10140, -64.975945
10270, -64.976319
10400, -64.976668
10530, -64.976991
10660, -64.977289
10790, -64.977562
10920, -64.977810
11049, -64.978035
11179, -64.978235
11309, -64.978413
11439, -64.978568
11569, -64.978701
11699, -64.978812
11829, -64.978904
11959, -64.978975
12089, -64.979028
12219, -64.979062
12349, -64.979078
12479, -64.979078
12609, -64.979062
12739, -64.979030
12869, -64.978985
12999, -64.978925
13129, -64.978853
13259, -64.978770
13389, -64.978675
13519, -64.978570
13649, -64.978455
13779, -64.978332
13909, -64.978200
14039, -64.978062
14169, -64.977917
14299, -64.977767
14429, -64.977612
14559, -64.977452
14689, -64.977289
14819, -64.977123
14949, -64.976955
15079, -64.976784
15209, -64.976613
15339, -64.976441
15469, -64.976270
15599, -64.976098
15729, -64.975928
15859, -64.975759
15989, -64.975592
16119, -64.975427
16249, -64.975264
16379, -64.975105
16509, -64.974949
16639, -64.974797
16769, -64.974648
16899, -64.974504
17029, -64.974364
17159, -64.974228
17289, -64.974097
17419, -64.973971
17549, -64.973851
17679, -64.973735
17809, -64.973624
17939, -64.973519
18070, -64.973420
18200, -64.973325
18330, -64.973236
18460, -64.973153
18590, -64.973075
18720, -64.973002
18850, -64.972935
18980, -64.972873
19110, -64.972816
