# ./result/hh_cnexp_0770.txt
# dt = 770 [usec]
# t [usec], V [mV]
0, -65.000000
770, -64.984654
1540, -64.972088
2310, -64.962468
3080, -64.955832
3850, -64.951998
4620, -64.950622
5390, -64.951252
6160, -64.953391
6930, -64.956542
7700, -64.960242
8470, -64.964094
9240, -64.967777
10010, -64.971057
10780, -64.973782
11550, -64.975876
12320, -64.977328
13090, -64.978176
13860, -64.978495
14630, -64.978381
15400, -64.977942
16170, -64.977284
16940, -64.976505
17710, -64.975692
18480, -64.974911
19250, -64.974215
20020, -64.973634
20790, -64.973187
21560, -64.972876
22330, -64.972694
23100, -64.972624
23870, -64.972647
24640, -64.972740
25410, -64.972881
26180, -64.973048
26950, -64.973223
27720, -64.973391
28490, -64.973542
29260, -64.973668
30030, -64.973766
30800, -64.973834
31570, -64.973875
32340, -64.973892
33110, -64.973889
33880, -64.973870
34650, -64.973842
35420, -64.973807
36190, -64.973770
36960, -64.973735
37730, -64.973703
38500, -64.973677
39270, -64.973656
40040, -64.973642
40810, -64.973633
41580, -64.973630
42350, -64.973630
43120, -64.973634
43890, -64.973641
44660, -64.973648
45430, -64.973656
46200, -64.973664
46970, -64.973671
47740, -64.973677
48510, -64.973681
49280, -64.973685
50050, -64.973687
50820, -48.880538
51590, -17.538591
52360, 32.723536
53130, 0.232914
53900, -33.560590
54670, -55.411166
55440, -70.675808
56210, -71.851109
56980, -70.393741
57750, -68.260988
58520, -65.799332
59290, -63.207754
60060, -60.644407
60830, -58.159766
61600, -55.638184
62370, -52.710090
63140, -48.407751
63910, -39.514073
64680, -16.764532
65450, 1.170556
66220, -25.509394
66990, -48.571795
67760, -66.635644
68530, -70.946573
69300, -69.945269
70070, -67.870735
70840, -65.412793
71610, -62.836196
72380, -60.310784
73150, -57.882906
73920, -55.439565
74690, -52.641217
75460, -48.651472
76230, -40.840595
77000, -21.412788
77770, -0.686781
78540, -22.769559
79310, -46.459269
80080, -65.054460
80850, -70.748617
81620, -69.977696
82390, -67.957204
83160, -65.517148
83930, -62.945065
84700, -60.419782
85470, -57.995087
86240, -55.573257
87010, -52.832320
87780, -49.012524
88550, -41.767532
89320, -23.863189
90090, -1.259635
90860, -20.312391
91630, -44.768474
92400, -63.773542
93170, -70.662742
93940, -70.095646
94710, -68.129330
95480, -65.709885
96250, -63.140942
97020, -60.608429
97790, -58.178593
98560, -55.763324
99330, -53.070182
100100, -49.397002
100870, -42.604473
101640, -25.952718
102410, -1.883359
103180, -17.837057
103950, -43.116051
104720, -62.461498
105490, -70.574102
106260, -70.223399
107030, -68.313928
107800, -65.916832
108570, -63.351926
109340, -60.811233
110110, -58.375090
110880, -55.964406
111650, -53.316829
112420, -49.766898
113190, -43.390138
113960, -27.932845
114730, -2.839437
115500, -15.319973
116270, -41.418258
117040, -61.053124
117810, -70.453253
118580, -70.347394
119350, -68.499479
120120, -66.126706
120890, -63.566791
121660, -61.018860
122430, -58.575911
123200, -56.169340
123970, -53.554191
124740, -50.117246
125510, -44.112514
126280, -29.776907
127050, -4.121261
127820, -12.865788
128590, -39.700679
129360, -59.594480
130130, -70.287685
130900, -70.460455
131670, -68.678908
132440, -66.332077
133210, -63.778289
133980, -61.224288
134750, -58.771047
135520, -56.368799
136290, -53.782627
137060, -50.452629
137830, -44.772543
138600, -31.450138
139370, -5.625797
140140, -10.562999
140910, -37.990304
141680, -58.130213
142450, -70.070795
143220, -70.559354
143990, -68.848955
144760, -66.529369
145530, -63.982967
146300, -61.423984
147070, -58.961174
147840, -56.562726
148610, -54.003938
149380, -50.775330
150150, -45.407292
150920, -33.067046
151690, -7.457491
152460, -8.355315
153230, -36.180519
154000, -56.584988
154770, -69.764922
155540, -70.643400
156310, -69.015686
157080, -66.726527
157850, -64.189271
158620, -61.624996
159390, -59.153726
160160, -56.753805
160930, -54.222012
161700, -51.071549
162470, -45.972345
163240, -34.508958
164010, -9.414251
164780, -6.427839
165550, -34.379257
166320, -55.074436
167090, -69.379130
167860, -70.707686
168630, -69.170341
169400, -66.913088
170170, -64.386271
170940, -61.817987
171710, -59.339137
172480, -56.936643
173250, -54.430333
174020, -51.354274
174790, -46.483669
175560, -35.766022
176330, -11.346689
177100, -4.819935
177870, -32.629471
178640, -53.648507
179410, -68.919556
180180, -70.752342
180950, -69.311543
181720, -67.087037
182490, -64.571313
183260, -62.000383
184030, -59.514790
184800, -57.109906
185570, -54.620630
186340, -51.610691
187110, -46.946071
187880, -36.922303
188650, -13.370714
189420, -3.508549
190190, -30.841531
190960, -52.232731
