# ./result/hh_euler_0070.txt
# dt = 70 [usec]
# t [usec], V [mV]
0, -65.000000
70, -64.997973
140, -64.996022
210, -64.994131
280, -64.992292
350, -64.990499
420, -64.988747
490, -64.987034
560, -64.985358
630, -64.983719
700, -64.982116
770, -64.980549
840, -64.979017
910, -64.977522
980, -64.976062
1050, -64.974639
1120, -64.973252
1190, -64.971902
1260, -64.970589
1330, -64.969314
1400, -64.968075
1470, -64.966873
1540, -64.965709
1610, -64.964583
1680, -64.963494
1750, -64.962442
1820, -64.961428
1890, -64.960451
1960, -64.959511
2030, -64.958609
2100, -64.957743
2170, -64.956914
2240, -64.956121
2310, -64.955365
2380, -64.954645
2450, -64.953960
2520, -64.953311
2590, -64.952697
2660, -64.952117
2730, -64.951572
2800, -64.951060
2870, -64.950582
2940, -64.950137
3010, -64.949725
3080, -64.949344
3150, -64.948995
3220, -64.948677
3290, -64.948390
3360, -64.948133
3430, -64.947905
3500, -64.947705
3570, -64.947535
3640, -64.947391
3710, -64.947275
3780, -64.947186
3850, -64.947122
3920, -64.947084
3990, -64.947070
4060, -64.947080
4130, -64.947114
4200, -64.947171
4270, -64.947249
4340, -64.947349
4410, -64.947470
4480, -64.947611
4550, -64.947771
4620, -64.947951
4690, -64.948148
4760, -64.948364
4830, -64.948596
4900, -64.948844
4970, -64.949108
5040, -64.949386
5110, -64.949680
5180, -64.949986
5250, -64.950306
5320, -64.950639
5390, -64.950983
5460, -64.951338
5530, -64.951704
5600, -64.952080
5670, -64.952465
5740, -64.952859
5810, -64.953261
5880, -64.953671
5950, -64.954087
6020, -64.954511
6090, -64.954940
6160, -64.955375
6230, -64.955814
6300, -64.956258
6370, -64.956706
6440, -64.957157
6510, -64.957610
6580, -64.958067
6650, -64.958525
6720, -64.958984
6790, -64.959445
6860, -64.959906
6930, -64.960367
7000, -64.960828
7070, -64.961288
7140, -64.961747
7210, -64.962205
7280, -64.962660
7350, -64.963114
7420, -64.963565
7490, -64.964013
7560, -64.964457
7630, -64.964899
7700, -64.965336
7770, -64.965769
7840, -64.966198
7910, -64.966622
7980, -64.967041
8050, -64.967455
8120, -64.967864
8190, -64.968267
8260, -64.968664
8330, -64.969055
8400, -64.969439
8470, -64.969818
8540, -64.970189
8610, -64.970554
8680, -64.970912
8750, -64.971263
8820, -64.971607
8890, -64.971944
8960, -64.972273
9030, -64.972594
9100, -64.972908
9170, -64.973215
9240, -64.973513
9310, -64.973804
9380, -64.974087
9450, -64.974362
9520, -64.974629
9590, -64.974888
9660, -64.975139
9730, -64.975382
9800, -64.975617
9870, -64.975844
9940, -64.976063
10010, -64.976274
10080, -64.976477
10150, -64.976673
10220, -64.976860
10290, -64.977039
10360, -64.977211
10430, -64.977375
10500, -64.977531
10570, -64.977679
10640, -64.977820
10710, -64.977953
10780, -64.978079
10850, -64.978198
10920, -64.978310
10990, -64.978414
11060, -64.978511
11130, -64.978601
11200, -64.978685
11270, -64.978761
11340, -64.978831
11410, -64.978895
11480, -64.978952
11550, -64.979003
11620, -64.979048
11690, -64.979086
11760, -64.979119
11830, -64.979146
11900, -64.979167
11970, -64.979183
12040, -64.979193
12110, -64.979198
12180, -64.979198
12250, -64.979193
12320, -64.979183
12390, -64.979169
12460, -64.979149
12530, -64.979126
12600, -64.979098
12670, -64.979066
12740, -64.979030
12810, -64.978990
12880, -64.978946
12950, -64.978899
13020, -64.978848
13090, -64.978794
13160, -64.978736
13230, -64.978676
13300, -64.978613
13370, -64.978547
13440, -64.978478
13510, -64.978407
13580, -64.978333
13650, -64.978257
13720, -64.978179
13790, -64.978099
13860, -64.978017
13930, -64.977933
14000, -64.977848
14070, -64.977761
14140, -64.977673
14210, -64.977583
14280, -64.977492
14350, -64.977401
14420, -64.977308
14490, -64.977214
14560, -64.977120
14630, -64.977025
14700, -64.976930
14770, -64.976834
14840, -64.976738
14910, -64.976641
14980, -64.976545
15050, -64.976448
15120, -64.976351
15190, -64.976255
15260, -64.976159
15330, -64.976063
15400, -64.975967
15470, -64.975872
15540, -64.975777
15610, -64.975683
15680, -64.975590
15750, -64.975497
15820, -64.975405
15890, -64.975314
15960, -64.975224
16030, -64.975134
16100, -64.975046
16170, -64.974959
16240, -64.974873
16310, -64.974788
16380, -64.974705
16450, -64.974622
16520, -64.974541
16590, -64.974462
16660, -64.974383
16730, -64.974306
16800, -64.974231
16870, -64.974157
16940, -64.974084
17010, -64.974013
17080, -64.973944
17150, -64.973876
17220, -64.973809
17290, -64.973745
17360, -64.973682
17430, -64.973620
17500, -64.973560
17570, -64.973502
17640, -64.973446
17710, -64.973391
17780, -64.973338
17850, -64.973286
17920, -64.973236
17990, -64.973188
18060, -64.973142
18130, -64.973097
18200, -64.973054
18270, -64.973013
18340, -64.972973
18410, -64.972935
18480, -64.972898
18550, -64.972864
18620, -64.972830
18690, -64.972799
18760, -64.972769
18830, -64.972741
18900, -64.972714
18970, -64.972688
19040, -64.972665
19110, -64.972642
19180, -64.972622
19250, -64.972602
19320, -64.972585
19390, -64.972568
19460, -64.972553
19530, -64.972540
19600, -64.972527
19670, -64.972516
19740, -64.972507
19810, -64.972498
19880, -64.972491
19950, -64.972485
20020, -64.972481
20090, -64.972477
20160, -64.972475
20230, -64.972474
20300, -64.972474
20370, -64.972475
20440, -64.972477
20510, -64.972480
20580, -64.972484
20650, -64.972488
20720, -64.972494
20790, -64.972501
20860, -64.972508
20930, -64.972517
21000, -64.972526
21070, -64.972536
21140, -64.972547
21210, -64.972558
21280, -64.972570
21350, -64.972583
21420, -64.972596
21490, -64.972610
21560, -64.972625
21630, -64.972640
21700, -64.972656
21770, -64.972672
21840, -64.972688
21910, -64.972705
21980, -64.972723
22050, -64.972740
22120, -64.972759
22190, -64.972777
22260, -64.972796
22330, -64.972815
22400, -64.972834
22470, -64.972854
22540, -64.972873
22610, -64.972893
22680, -64.972913
22750, -64.972934
22820, -64.972954
22890, -64.972974
22960, -64.972995
23030, -64.973016
23100, -64.973036
23170, -64.973057
23240, -64.973077
23310, -64.973098
23380, -64.973119
23450, -64.973139
23520, -64.973160
23590, -64.973180
23660, -64.973200
23730, -64.973220
23800, -64.973240
23870, -64.973260
23940, -64.973280
24010, -64.973299
24080, -64.973319
24150, -64.973338
24220, -64.973357
24290, -64.973375
24360, -64.973394
24430, -64.973412
24500, -64.973430
24570, -64.973448
24640, -64.973465
24710, -64.973482
24780, -64.973499
24850, -64.973516
24920, -64.973532
24990, -64.973548
25060, -64.973564
25130, -64.973579
25200, -64.973594
25270, -64.973609
25340, -64.973623
25410, -64.973637
25480, -64.973650
25550, -64.973664
25620, -64.973677
25690, -64.973689
25760, -64.973702
25830, -64.973713
25900, -64.973725
25970, -64.973736
26040, -64.973747
26110, -64.973757
26180, -64.973768
26250, -64.973777
26320, -64.973787
26390, -64.973796
26460, -64.973804
26530, -64.973813
26600, -64.973821
26670, -64.973828
26740, -64.973836
26810, -64.973843
26880, -64.973849
26950, -64.973856
27020, -64.973862
27090, -64.973867
27160, -64.973872
27230, -64.973877
27300, -64.973882
27370, -64.973886
27440, -64.973890
27510, -64.973894
27580, -64.973898
27650, -64.973901
27720, -64.973904
27790, -64.973906
27860, -64.973908
27930, -64.973910
28000, -64.973912
28070, -64.973914
28140, -64.973915
28210, -64.973916
28280, -64.973917
28350, -64.973917
28420, -64.973917
28490, -64.973917
28560, -64.973917
28630, -64.973917
28700, -64.973916
28770, -64.973915
28840, -64.973914
28910, -64.973913
28980, -64.973912
29050, -64.973910
29120, -64.973908
29190, -64.973906
29260, -64.973904
29330, -64.973902
29400, -64.973900
29470, -64.973897
29540, -64.973894
29610, -64.973892
29680, -64.973889
29750, -64.973886
29820, -64.973883
29890, -64.973879
29960, -64.973876
30030, -64.973873
30100, -64.973869
30170, -64.973865
30240, -64.973862
30310, -64.973858
30380, -64.973854
30450, -64.973850
30520, -64.973846
30590, -64.973842
30660, -64.973838
30730, -64.973834
30800, -64.973830
30870, -64.973826
30940, -64.973822
31010, -64.973817
31080, -64.973813
31150, -64.973809
31220, -64.973805
31290, -64.973800
31360, -64.973796
31430, -64.973792
31500, -64.973788
31570, -64.973783
31640, -64.973779
31710, -64.973775
31780, -64.973771
31850, -64.973767
31920, -64.973763
31990, -64.973758
32060, -64.973754
32130, -64.973750
32200, -64.973746
32270, -64.973742
32340, -64.973738
32410, -64.973734
32480, -64.973731
32550, -64.973727
32620, -64.973723
32690, -64.973719
32760, -64.973716
32830, -64.973712
32900, -64.973709
32970, -64.973705
33040, -64.973702
33110, -64.973699
33180, -64.973695
33250, -64.973692
33320, -64.973689
33390, -64.973686
33460, -64.973683
33530, -64.973680
33600, -64.973677
33670, -64.973675
33740, -64.973672
33810, -64.973669
33880, -64.973667
33950, -64.973664
34020, -64.973662
34090, -64.973659
34160, -64.973657
34230, -64.973655
34300, -64.973653
34370, -64.973651
34440, -64.973649
34510, -64.973647
34580, -64.973645
34650, -64.973644
34720, -64.973642
34790, -64.973640
34860, -64.973639
34930, -64.973637
35000, -64.973636
35070, -64.973635
35140, -64.973633
35210, -64.973632
35280, -64.973631
35350, -64.973630
35420, -64.973629
35490, -64.973628
35560, -64.973628
35630, -64.973627
35700, -64.973626
35770, -64.973625
35840, -64.973625
35910, -64.973624
35980, -64.973624
36050, -64.973624
36120, -64.973623
36190, -64.973623
36260, -64.973623
36330, -64.973622
36400, -64.973622
36470, -64.973622
36540, -64.973622
36610, -64.973622
36680, -64.973622
36750, -64.973622
36820, -64.973623
36890, -64.973623
36960, -64.973623
37030, -64.973623
37100, -64.973624
37170, -64.973624
37240, -64.973624
37310, -64.973625
37380, -64.973625
37450, -64.973626
37520, -64.973626
37590, -64.973627
37660, -64.973628
37730, -64.973628
37800, -64.973629
37870, -64.973629
37940, -64.973630
38010, -64.973631
38080, -64.973632
38150, -64.973632
38220, -64.973633
38290, -64.973634
38360, -64.973635
38430, -64.973636
38500, -64.973636
38570, -64.973637
38640, -64.973638
38710, -64.973639
38780, -64.973640
38850, -64.973641
38920, -64.973642
38990, -64.973643
39060, -64.973644
39130, -64.973644
39200, -64.973645
39270, -64.973646
39340, -64.973647
39410, -64.973648
39480, -64.973649
39550, -64.973650
39620, -64.973651
39690, -64.973652
39760, -64.973653
39830, -64.973654
39900, -64.973655
39970, -64.973656
40040, -64.973656
40110, -64.973657
40180, -64.973658
40250, -64.973659
40320, -64.973660
40390, -64.973661
40460, -64.973662
40530, -64.973663
40600, -64.973663
40670, -64.973664
40740, -64.973665
40810, -64.973666
40880, -64.973667
40950, -64.973668
41020, -64.973668
41090, -64.973669
41160, -64.973670
41230, -64.973671
41300, -64.973671
41370, -64.973672
41440, -64.973673
41510, -64.973673
41580, -64.973674
41650, -64.973675
41720, -64.973675
41790, -64.973676
41860, -64.973676
41930, -64.973677
42000, -64.973678
42070, -64.973678
42140, -64.973679
42210, -64.973679
42280, -64.973680
42350, -64.973680
42420, -64.973681
42490, -64.973681
42560, -64.973682
42630, -64.973682
42700, -64.973682
42770, -64.973683
42840, -64.973683
42910, -64.973684
42980, -64.973684
43050, -64.973684
43120, -64.973685
43190, -64.973685
43260, -64.973685
43330, -64.973685
43400, -64.973686
43470, -64.973686
43540, -64.973686
43610, -64.973686
43680, -64.973687
43750, -64.973687
43820, -64.973687
43890, -64.973687
43960, -64.973687
44030, -64.973687
44100, -64.973688
44170, -64.973688
44240, -64.973688
44310, -64.973688
44380, -64.973688
44450, -64.973688
44520, -64.973688
44590, -64.973688
44660, -64.973688
44730, -64.973688
44800, -64.973688
44870, -64.973688
44940, -64.973688
45010, -64.973688
45080, -64.973688
45150, -64.973688
45220, -64.973688
45290, -64.973688
45360, -64.973688
45430, -64.973688
45500, -64.973688
45570, -64.973688
45640, -64.973687
45710, -64.973687
45780, -64.973687
45850, -64.973687
45920, -64.973687
45990, -64.973687
46060, -64.973687
46130, -64.973687
46200, -64.973686
46270, -64.973686
46340, -64.973686
46410, -64.973686
46480, -64.973686
46550, -64.973686
46620, -64.973686
46690, -64.973685
46760, -64.973685
46830, -64.973685
46900, -64.973685
46970, -64.973685
47040, -64.973685
47110, -64.973684
47180, -64.973684
47250, -64.973684
47320, -64.973684
47390, -64.973684
47460, -64.973683
47530, -64.973683
47600, -64.973683
47670, -64.973683
47740, -64.973683
47810, -64.973683
47880, -64.973682
47950, -64.973682
48020, -64.973682
48090, -64.973682
48160, -64.973682
48230, -64.973681
48300, -64.973681
48370, -64.973681
48440, -64.973681
48510, -64.973681
48580, -64.973681
48650, -64.973680
48720, -64.973680
48790, -64.973680
48860, -64.973680
48930, -64.973680
49000, -64.973680
49070, -64.973679
49140, -64.973679
49210, -64.973679
49280, -64.973679
49350, -64.973679
49420, -64.973679
49490, -64.973679
49560, -64.973678
49630, -64.973678
49700, -64.973678
49770, -64.973678
49840, -64.973678
49910, -64.973678
49980, -64.973678
50050, -62.846639
50120, -60.799227
50190, -58.810844
50260, -56.855298
50330, -54.895458
50400, -52.876668
50470, -50.716912
50540, -48.290508
50610, -45.399744
50680, -41.720981
50750, -36.704716
50820, -29.404562
50890, -18.312036
50960, -1.899203
51030, 18.049679
51100, 33.677493
51170, 40.696535
51240, 42.177541
51310, 41.237046
51380, 39.211309
51450, 36.583910
51520, 33.556700
51590, 30.243107
51660, 26.724867
51730, 23.068152
51800, 19.328075
51870, 15.550102
51940, 11.770755
52010, 8.018359
52080, 4.313958
52150, 0.672138
52220, -2.897550
52290, -6.389726
52360, -9.802796
52430, -13.137444
52500, -16.396989
52570, -19.587477
52640, -22.717409
52710, -25.799108
52780, -28.850098
52850, -31.894550
52920, -34.964574
52990, -38.100870
53060, -41.352221
53130, -44.770971
53200, -48.402501
53270, -52.263351
53340, -56.303599
53410, -60.359008
53480, -64.134177
53550, -67.285431
53620, -69.600001
53690, -71.106999
53760, -71.997197
53830, -72.480289
53900, -72.714042
53970, -72.799382
54040, -72.796553
54110, -72.740646
54180, -72.652017
54250, -72.542525
54320, -72.419137
54390, -72.285992
54460, -72.145574
54530, -71.999395
54600, -71.848386
54670, -71.693129
54740, -71.533998
54810, -71.371240
54880, -71.205023
54950, -71.035470
55020, -70.862675
55090, -70.686711
55160, -70.507645
55230, -70.325541
55300, -70.140465
55370, -69.952481
55440, -69.761655
55510, -69.568052
55580, -69.371743
55650, -69.172806
55720, -68.971324
55790, -68.767385
55860, -68.561065
55930, -68.352455
56000, -68.141652
56070, -67.928761
56140, -67.713883
56210, -67.497109
56280, -67.278543
56350, -67.058301
56420, -66.836501
56490, -66.613242
56560, -66.388622
56630, -66.162757
56700, -65.935770
56770, -65.707775
56840, -65.478854
56910, -65.249110
56980, -65.018660
57050, -64.787630
57120, -64.556076
57190, -64.324075
57260, -64.091727
57330, -63.859143
57400, -63.626376
57470, -63.393461
57540, -63.160461
57610, -62.927464
57680, -62.694522
57750, -62.461606
57820, -62.228732
57890, -61.995945
57960, -61.763312
58030, -61.530715
58100, -61.298102
58170, -61.065466
58240, -60.832829
58310, -60.600054
58380, -60.366991
58450, -60.133551
58520, -59.899694
58590, -59.665272
58660, -59.429999
58730, -59.193679
58800, -58.956175
58870, -58.717320
58940, -58.476649
59010, -58.233806
59080, -57.988516
59150, -57.740537
59220, -57.489148
59290, -57.233765
59360, -56.973895
59430, -56.709036
59500, -56.438104
59570, -56.160153
59640, -55.874320
59710, -55.579398
59780, -55.273720
59850, -54.955716
59920, -54.623681
59990, -54.274839
60060, -53.906461
60130, -53.515358
60200, -53.096956
60270, -52.646508
60340, -52.157236
60410, -51.621349
60480, -51.028313
60550, -50.365500
60620, -49.615024
60690, -48.754056
60760, -47.751999
60830, -46.566743
60900, -45.139579
60970, -43.388286
61040, -41.194563
61110, -38.389468
61180, -34.733340
61250, -29.903296
61320, -23.519510
61390, -15.296768
61460, -5.435314
61530, 4.854934
61600, 13.515943
61670, 18.984926
61740, 21.133744
61810, 20.748833
61880, 18.721020
61950, 15.717884
62020, 12.174192
62090, 8.359951
62160, 4.440169
62230, 0.514585
62300, -3.357839
62370, -7.143802
62440, -10.826224
62510, -14.398709
62580, -17.861991
62650, -21.221644
62720, -24.488631
62790, -27.679074
62860, -30.814940
62930, -33.925377
63000, -37.047158
63070, -40.223947
63140, -43.503037
63210, -46.927588
63280, -50.522607
63350, -54.269086
63420, -58.071927
63490, -61.735554
63560, -64.989670
63630, -67.596780
63700, -69.470592
63770, -70.694861
63840, -71.434479
63910, -71.848004
63980, -72.053110
64050, -72.127399
64120, -72.119504
64190, -72.059353
64260, -71.965306
64330, -71.848673
64400, -71.716480
64470, -71.573129
64540, -71.421414
64610, -71.263128
64680, -71.099438
64750, -70.931118
64820, -70.758689
64890, -70.582512
64960, -70.402848
65030, -70.219893
65100, -70.033801
65170, -69.844702
65240, -69.652703
65310, -69.457902
65380, -69.260397
65450, -69.060286
65520, -68.857664
65590, -68.652623
65660, -68.445254
65730, -68.235658
65800, -68.023938
65870, -67.810207
65940, -67.594557
66010, -67.377093
66080, -67.157927
66150, -66.937180
66220, -66.714966
66290, -66.491383
66360, -66.266543
66430, -66.040569
66500, -65.813590
66570, -65.585696
66640, -65.356989
66710, -65.127581
66780, -64.897599
66850, -64.667141
66920, -64.436279
66990, -64.205106
67060, -63.973731
67130, -63.742264
67200, -63.510729
67270, -63.279187
67340, -63.047720
67410, -62.816425
67480, -62.585302
67550, -62.354357
67620, -62.123629
67690, -61.893184
67760, -61.663018
67830, -61.433063
67900, -61.203297
67970, -60.973739
68040, -60.744401
68110, -60.515114
68180, -60.285774
68250, -60.056333
68320, -59.826776
68390, -59.596891
68460, -59.366459
