# hh_euler_0870.txt
# dt = 870 [usec]
# t [usec], V [mV]
0, -65.000000
870, -64.979622
1740, -64.947408
2610, -64.959749
3480, -64.915801
4350, -64.989467
5220, -64.863934
6090, -65.083883
6960, -64.631227
7830, -65.242086
8700, -63.342638
9570, -64.902509
10440, -58.503140
11310, -57.460059
12180, -50.371422
13050, 19.849479
13920, 71.811861
14790, 28.959952
15660, 71.017151
16530, 28.983069
17400, 71.016930
18270, 28.983070
19140, 71.016930
20010, 28.983070
20880, 71.016930
21750, 28.983070
22620, 71.016930
23490, 28.983070
24360, 71.016930
25230, 28.983070
26100, 71.016930
26970, 28.983070
27840, 71.016930
28710, 28.983070
29580, 71.016930
30450, 28.983070
31320, 71.016930
32190, 28.983070
33060, 71.016930
33930, 28.983070
34800, 71.016930
35670, 28.983070
36540, 71.016930
37410, 28.983070
38280, 71.016930
39150, 28.983070
40020, 71.016930
40890, 28.983070
41760, 71.016930
42630, 28.983070
43500, 71.016930
44370, 28.983070
45240, 71.016930
46110, 28.983070
46980, 71.016930
47850, 28.983070
48720, 71.016930
49590, 28.983070
50460, 71.016930
51330, 28.983070
52200, 71.016930
53070, 28.983070
53940, 71.016930
54810, 28.983070
55680, 71.016930
56550, 28.983070
57420, 71.016930
58290, 28.983070
59160, 71.016930
60030, 28.983070
60900, 71.016930
61770, 28.983070
62640, 71.016930
63510, 28.983070
64380, 71.016930
65250, 28.983070
66120, 71.016930
66990, 28.983070
67860, 71.016930
68730, 28.983070
69600, 71.016930
70470, 28.983070
71340, 71.016930
72210, 28.983070
73080, 71.016930
73950, 28.983070
74820, 71.016930
75690, 28.983070
76560, 71.016930
77430, 28.983070
78300, 71.016930
79170, 28.983070
80040, 71.016930
80910, 28.983070
81780, 71.016930
82650, 28.983070
83520, 71.016930
84390, 28.983070
85260, 71.016930
86130, 28.983070
87000, 71.016930
87870, 28.983070
88740, 71.016930
89610, 28.983070
90480, 71.016930
91350, 28.983070
92220, 71.016930
93090, 28.983070
93960, 71.016930
94830, 28.983070
95700, 71.016930
96570, 28.983070
97440, 71.016930
98310, 28.983070
99180, 71.016930
100050, 28.983070
100920, 71.016930
101790, 28.983070
102660, 71.016930
103530, 28.983070
104400, 71.016930
105270, 28.983070
106140, 71.016930
107010, 28.983070
107880, 71.016930
108750, 28.983070
109620, 71.016930
110490, 28.983070
111360, 71.016930
112230, 28.983070
113100, 71.016930
113970, 28.983070
114840, 71.016930
115710, 28.983070
116580, 71.016930
117450, 28.983070
118320, 71.016930
119190, 28.983070
120060, 71.016930
120930, 28.983070
121800, 71.016930
122670, 28.983070
123540, nan
124410, nan
125280, nan
126150, nan
127020, nan
127890, nan
128760, nan
129630, nan
130500, nan
131370, nan
132240, nan
133110, nan
133980, nan
134850, nan
135720, nan
136590, nan
137460, nan
138330, nan
139200, nan
140070, nan
140940, nan
141810, nan
142680, nan
143550, nan
144420, nan
145290, nan
146160, nan
147030, nan
147900, nan
148770, nan
149640, nan
150510, nan
151380, nan
152250, nan
153120, nan
153990, nan
154860, nan
155730, nan
156600, nan
157470, nan
158340, nan
159210, nan
160080, nan
160950, nan
161820, nan
162690, nan
163560, nan
164430, nan
165300, nan
166170, nan
167040, nan
167910, nan
168780, nan
169650, nan
170520, nan
171390, nan
172260, nan
173130, nan
174000, nan
174870, nan
175740, nan
176610, nan
177480, nan
178350, nan
179220, nan
180090, nan
180960, nan
181830, nan
182700, nan
183570, nan
184440, nan
185310, nan
186180, nan
187050, nan
187920, nan
188790, nan
189660, nan
190530, nan
191400, nan
192270, nan
193140, nan
194010, nan
194880, nan
195750, nan
196620, nan
197490, nan
198360, nan
199230, nan
200100, nan
200970, nan
201840, nan
202710, nan
203580, nan
204450, nan
205320, nan
206190, nan
207060, nan
207930, nan
208800, nan
209670, nan
210540, nan
211410, nan
212280, nan
213150, nan
214020, nan
214890, nan
215760, nan
216630, nan
217500, nan
218370, nan
219240, nan
220110, nan
220980, nan
221850, nan
222720, nan
223590, nan
224460, nan
225330, nan
226200, nan
227070, nan
227940, nan
228810, nan
229680, nan
230550, nan
231420, nan
232290, nan
233160, nan
234030, nan
234900, nan
235770, nan
236640, nan
237510, nan
238380, nan
239250, nan
240120, nan
240990, nan
241860, nan
242730, nan
243600, nan
244470, nan
245340, nan
246210, nan
247080, nan
247950, nan
248820, nan
249690, nan
250560, nan
251430, nan
252300, nan
253170, nan
254040, nan
254910, nan
255780, nan
256650, nan
257520, nan
258390, nan
259260, nan
260130, nan
261000, nan
261870, nan
262740, nan
263610, nan
264480, nan
265350, nan
266220, nan
267090, nan
267960, nan
268830, nan
269700, nan
270570, nan
271440, nan
272310, nan
273180, nan
274050, nan
274920, nan
275790, nan
276660, nan
277530, nan
278400, nan
279270, nan
280140, nan
281010, nan
281880, nan
282750, nan
283620, nan
284490, nan
285360, nan
286230, nan
287100, nan
287970, nan
288840, nan
289710, nan
290580, nan
291450, nan
292320, nan
293190, nan
294060, nan
294930, nan
295800, nan
296670, nan
297540, nan
298410, nan
299280, nan
300150, nan
