# ./result/hh_impl_0570.txt
# dt = 570 [usec]
# t [usec], V [mV]
0, -65.000000
570, -64.987530
1140, -64.977321
1710, -64.968874
2280, -64.962103
2850, -64.956963
3420, -64.953372
3990, -64.951209
4560, -64.950314
5130, -64.950507
5700, -64.951594
6270, -64.953377
6840, -64.955666
7410, -64.958281
7980, -64.961061
8550, -64.963866
9120, -64.966578
9690, -64.969105
10260, -64.971376
10830, -64.973344
11400, -64.974983
11970, -64.976283
12540, -64.977251
13110, -64.977906
13680, -64.978276
14250, -64.978394
14820, -64.978301
15390, -64.978036
15960, -64.977640
16530, -64.977152
17100, -64.976608
17670, -64.976038
18240, -64.975471
18810, -64.974928
19380, -64.974428
19950, -64.973984
20520, -64.973603
21090, -64.973290
21660, -64.973046
22230, -64.972868
22800, -64.972754
23370, -64.972695
23940, -64.972686
24510, -64.972717
25080, -64.972782
25650, -64.972870
26220, -64.972976
26790, -64.973091
27360, -64.973209
27930, -64.973325
28500, -64.973435
29070, -64.973536
29640, -64.973624
30210, -64.973700
30780, -64.973761
31350, -64.973807
31920, -64.973841
32490, -64.973862
33060, -64.973871
33630, -64.973871
34200, -64.973863
34770, -64.973849
35340, -64.973830
35910, -64.973809
36480, -64.973785
37050, -64.973761
37620, -64.973738
38190, -64.973717
38760, -64.973697
39330, -64.973680
39900, -64.973666
40470, -64.973654
41040, -64.973646
41610, -64.973640
42180, -64.973637
42750, -64.973635
43320, -64.973636
43890, -64.973638
44460, -64.973642
45030, -64.973646
45600, -64.973651
46170, -64.973656
46740, -64.973661
47310, -64.973665
47880, -64.973670
48450, -64.973674
49020, -64.973677
49590, -64.973680
50160, -64.973682
50730, -51.893924
51300, -37.356597
51870, 3.594041
52440, 30.552386
53010, 15.835967
53580, -6.927387
54150, -26.467576
54720, -42.127817
55290, -56.508573
55860, -68.039162
56430, -71.556091
57000, -71.349145
57570, -70.203581
58140, -68.722436
58710, -67.057954
59280, -65.288832
59850, -63.482164
60420, -61.694479
60990, -59.959554
61560, -58.278353
62130, -56.608546
62700, -54.865014
63270, -52.896175
63840, -50.397271
64410, -46.667539
