# hh_impl_0990.txt
# dt = 990 [usec]
# t [usec], V [mV]
0, -65.000000
990, -64.982029
1980, -64.968836
2970, -64.959646
3960, -64.954186
4950, -64.951991
5940, -64.952421
6930, -64.954752
7920, -64.958270
8910, -64.962329
9899, -64.966402
10889, -64.970097
11879, -64.973161
12869, -64.975467
13859, -64.976994
14849, -64.977801
15839, -64.978000
16829, -64.977732
17819, -64.977145
18809, -64.976378
19799, -64.975553
20790, -64.974763
21780, -64.974074
22770, -64.973526
23760, -64.973134
24750, -64.972895
25740, -64.972792
26730, -64.972799
27720, -64.972887
28710, -64.973027
29700, -64.973191
30690, -64.973358
31680, -64.973511
32670, -64.973639
33660, -64.973737
34650, -64.973804
35640, -64.973840
36629, -64.973852
37619, -64.973843
38609, -64.973821
39599, -64.973790
40589, -64.973757
41579, -64.973725
42569, -64.973696
43559, -64.973674
44549, -64.973657
45539, -64.973647
46529, -64.973642
47519, -64.973642
48509, -64.973645
49499, -64.973651
50489, -64.973657
51479, -36.709466
52469, 14.885874
53459, 20.426367
54449, -12.563488
55439, -37.897786
56429, -55.764490
57419, -67.759275
58409, -68.958764
59399, -66.423762
60389, -62.990159
61379, -59.447094
62369, -56.145721
63359, -52.984165
64349, -49.452190
65339, -44.546601
66329, -36.314045
67319, -23.873677
68309, -19.790682
69299, -32.770971
70289, -48.208368
71279, -61.216574
72269, -66.464593
73259, -65.118466
74249, -61.992981
75239, -58.644889
76229, -55.549633
77219, -52.622392
78209, -49.455790
79199, -45.383990
80190, -39.301926
81180, -30.519597
82170, -24.659467
83160, -31.330697
84150, -44.544878
85140, -57.466448
86130, -65.092328
87120, -65.022964
88110, -62.235937
89100, -58.963701
90090, -55.888860
91080, -53.021494
92070, -50.023845
93060, -46.346118
94050, -41.101699
95040, -33.463831
96030, -26.545933
97020, -29.628650
98010, -41.393506
99000, -54.290077
99990, -63.790612
100980, -65.220590
101970, -62.833005
102960, -59.613216
103950, -56.495546
104940, -53.618463
105930, -50.702158
106920, -47.257979
107910, -42.514535
108900, -35.524064
109890, -27.873721
110880, -28.071759
111870, -38.475694
112860, -51.344463
113850, -62.224323
114840, -65.362684
115830, -63.477339
116820, -60.333334
117810, -57.164593
118800, -54.253809
119790, -51.388697
120780, -48.126069
121770, -43.785802
122760, -37.393012
123750, -29.432776
124740, -27.000424
125730, -35.624122
126720, -48.348270
127710, -60.192663
128700, -65.286614
129690, -64.094494
130680, -61.083036
131670, -57.872640
132660, -54.909889
133650, -52.070910
134640, -48.959691
135630, -44.966879
136620, -39.163715
137610, -31.293098
138600, -26.611340
139590, -32.903763
140580, -45.257089
141570, -57.687233
142560, -64.852590
143550, -64.639944
144540, -61.846442
145530, -58.615708
146520, -55.589374
147510, -52.747577
148500, -49.742021
149490, -46.020476
150480, -40.726182
151470, -33.168568
152460, -26.837600
153450, -30.534072
154440, -42.263101
155430, -54.987277
156420, -64.007267
157410, -65.059035
158400, -62.579090
159390, -59.359101
160380, -56.268330
161370, -53.408017
162360, -50.480036
163350, -46.984844
164340, -42.147536
165330, -35.066008
166320, -27.690040
167310, -28.631406
168300, -39.311748
169290, -52.128480
170280, -62.652135
171270, -65.304477
172260, -63.273644
173250, -60.109294
174240, -56.959572
175230, -54.065493
176220, -51.196126
177210, -47.896674
178200, -43.469788
179190, -36.947202
180180, -29.070279
181170, -27.290210
182160, -36.374546
183150, -49.119072
184140, -60.744894
185130, -65.319594
186120, -63.929846
187110, -60.879573
188100, -57.680039
189090, -54.731834
190080, -51.886867
191070, -48.739963
192060, -44.655555
193050, -38.688130
194040, -30.751617
195030, -26.630431
196020, -33.621021
197010, -46.110710
198000, -58.419424
198990, -65.017599
199980, -64.502156
200970, -61.637899
201960, -58.408990
202950, -55.400199
203940, -52.560207
204930, -49.524482
205920, -45.723956
206910, -40.271556
207900, -32.577176
208890, -26.654204
209880, -31.169309
210870, -43.147433
211860, -55.821125
212850, -64.318563
213840, -64.956092
214830, -62.369621
215820, -59.141450
216810, -56.069913
217800, -53.219343
218790, -50.273435
219780, -46.719474
220770, -41.749044
221760, -34.508975
222750, -27.362038
223740, -29.105435
224730, -40.152822
225720, -52.970009
226710, -63.105114
227700, -65.259566
228690, -63.081150
229680, -59.895128
230670, -56.761203
231660, -53.876236
232650, -50.992140
233640, -47.647769
234630, -43.107341
235620, -36.426609
236610, -28.640748
237600, -27.601561
238590, -37.188278
239580, -49.970181
240570, -61.333338
241560, -65.344532
242550, -63.752181
243540, -60.662758
244530, -57.474853
245520, -54.541931
246510, -51.689818
247500, -48.497847
248490, -44.311116
249480, -38.171025
250470, -30.199087
251460, -31.558331
252450, -40.995718
253440, -55.499021
254430, -69.611432
255420, -74.087864
256410, -74.457960
257400, -73.898150
258390, -73.031026
259380, -72.027432
260370, -70.973781
261360, -69.931595
262350, -68.945409
263340, -68.044126
264330, -67.243262
265320, -66.548117
266310, -65.959169
267300, -65.476005
268290, -65.091893
269280, -64.805733
270270, -64.609773
271260, -64.496126
272250, -64.455355
273240, -64.474443
274230, -64.537625
275220, -64.628115
276210, -64.730041
277200, -64.830082
278190, -64.918473
279180, -64.989279
280170, -65.040062
281160, -65.070352
282150, -65.082719
283140, -65.081091
284130, -65.069668
285120, -65.052379
286110, -65.032577
287100, -65.012887
288090, -64.995172
289080, -64.980477
290070, -64.969134
291060, -64.961293
292050, -64.956766
293040, -64.955110
294030, -64.955724
295020, -64.957951
296010, -64.961151
297000, -64.964758
297990, -64.968317
298980, -64.971496
299970, -64.974086
300960, -64.975991
