# hh_runge_0290.txt
# dt = 290 [usec]
# t [usec], V [mV]
0, -65.000000
290, -64.992650
580, -64.986032
870, -64.979977
1160, -64.974459
1450, -64.969483
1740, -64.965057
2029, -64.961184
2320, -64.957860
2610, -64.955076
2900, -64.952813
3190, -64.951052
3480, -64.949765
3770, -64.948924
4059, -64.948495
4349, -64.948443
4639, -64.948731
4929, -64.949322
5219, -64.950179
5509, -64.951263
5799, -64.952537
6089, -64.953965
6379, -64.955513
6669, -64.957148
6959, -64.958840
7249, -64.960560
7539, -64.962283
7829, -64.963984
8119, -64.965644
8409, -64.967245
8699, -64.968770
8989, -64.970207
9279, -64.971545
9569, -64.972777
9859, -64.973897
10149, -64.974901
10439, -64.975786
10729, -64.976554
11019, -64.977206
11309, -64.977744
11599, -64.978173
11889, -64.978498
12179, -64.978725
12469, -64.978862
12759, -64.978914
13049, -64.978891
13339, -64.978800
13629, -64.978648
13919, -64.978445
14209, -64.978198
14499, -64.977914
14789, -64.977602
15079, -64.977268
15369, -64.976919
15659, -64.976561
15949, -64.976200
16239, -64.975841
16529, -64.975488
16819, -64.975146
17109, -64.974818
17399, -64.974508
17689, -64.974217
17979, -64.973947
18269, -64.973700
18559, -64.973478
18849, -64.973280
19139, -64.973107
19429, -64.972958
19719, -64.972834
20009, -64.972733
20299, -64.972655
20589, -64.972597
20879, -64.972560
21169, -64.972541
21459, -64.972539
21749, -64.972552
22039, -64.972578
22329, -64.972617
22619, -64.972665
22909, -64.972722
23199, -64.972786
23489, -64.972855
23779, -64.972928
24069, -64.973004
24359, -64.973081
24649, -64.973158
24939, -64.973234
25229, -64.973308
25519, -64.973380
25809, -64.973448
26099, -64.973512
26389, -64.973572
26679, -64.973628
26969, -64.973678
27259, -64.973723
27549, -64.973763
27839, -64.973798
28129, -64.973827
28419, -64.973851
28709, -64.973871
28999, -64.973886
29289, -64.973896
29579, -64.973903
29869, -64.973906
30159, -64.973905
30449, -64.973901
30739, -64.973895
31029, -64.973886
31319, -64.973875
31609, -64.973863
31899, -64.973849
32189, -64.973835
32479, -64.973819
32769, -64.973804
33059, -64.973788
33349, -64.973772
33639, -64.973756
33929, -64.973741
34219, -64.973727
34509, -64.973713
34799, -64.973700
35089, -64.973688
35379, -64.973677
35670, -64.973667
35960, -64.973658
36250, -64.973651
36540, -64.973644
36830, -64.973639
37120, -64.973634
37410, -64.973631
37700, -64.973628
37990, -64.973627
38280, -64.973626
38570, -64.973626
38860, -64.973626
39150, -64.973628
39440, -64.973629
39730, -64.973632
40020, -64.973634
40310, -64.973637
40600, -64.973640
40890, -64.973643
41180, -64.973647
41470, -64.973650
41760, -64.973654
42050, -64.973657
42340, -64.973661
42630, -64.973664
42920, -64.973667
43210, -64.973670
43500, -64.973672
43790, -64.973675
44080, -64.973677
44370, -64.973679
44660, -64.973681
44950, -64.973683
45240, -64.973684
45530, -64.973685
45820, -64.973686
46110, -64.973687
46400, -64.973687
46690, -64.973688
46980, -64.973688
47270, -64.973688
47560, -64.973688
47850, -64.973687
48140, -64.973687
48430, -64.973687
48720, -64.973686
49010, -64.973685
49300, -64.973685
49590, -64.973684
49880, -64.973683
50170, -53.405276
50460, -41.645299
50750, -16.882152
51040, 29.041066
51330, 35.930495
51620, 25.852868
51910, 12.345433
52200, -1.912183
52490, -15.289331
52780, -27.234489
53070, -38.083604
53360, -48.878873
53650, -60.108652
53940, -68.122956
54230, -70.571065
54520, -70.709470
54810, -70.163900
55100, -69.381393
55390, -68.485502
55680, -67.516389
55970, -66.492402
56260, -65.426389
56550, -64.329934
56840, -63.214008
57130, -62.088385
57420, -60.960581
57710, -59.834380
58000, -58.708113
58290, -57.574084
58580, -56.416478
58870, -55.208280
59160, -53.905663
59450, -52.434398
59740, -50.658220
60030, -48.322071
60320, -44.884287
60610, -39.113103
60900, -28.348308
61190, -10.331912
61480, 4.700032
61770, 3.158185
62060, -7.958397
62350, -20.728609
62640, -32.373812
62930, -42.907460
63220, -53.333350
63510, -62.950277
63800, -68.161301
64090, -69.455758
64380, -69.271629
64670, -68.585163
64960, -67.699539
65250, -66.714724
65540, -65.670499
65830, -64.588167
66120, -63.482823
66410, -62.366645
66700, -61.249236
66990, -60.136958
67280, -59.031978
67570, -57.931253
67860, -56.824611
68150, -55.693668
68440, -54.509183
68730, -53.224935
69020, -51.766104
69310, -49.998503
69600, -47.671719
69890, -44.256449
70180, -38.606372
70470, -28.413777
70760, -12.067723
71050, 1.555197
71340, 0.421849
71630, -10.095613
71920, -22.458854
72210, -33.818710
72500, -44.182205
72790, -54.458297
73080, -63.568209
73370, -68.158079
73660, -69.218187
73950, -68.959747
74240, -68.240731
74530, -67.334229
74820, -66.333646
75110, -65.277725
75400, -64.187833
75690, -63.079132
75980, -61.963572
76270, -60.850027
76560, -59.743388
76850, -58.644152
77140, -57.547312
77430, -56.441158
77720, -55.305473
78010, -54.108213
78300, -52.799060
78590, -51.290671
78880, -49.429993
79170, -46.922302
79460, -43.156096
79750, -36.789653
80040, -25.369993
80330, -8.655353
80620, 2.018974
80910, -1.895826
81200, -13.174158
81490, -25.351571
81780, -36.378915
82070, -46.630406
82360, -56.839420
82650, -65.080371
82940, -68.568214
83230, -69.179427
83520, -68.768172
83810, -67.989639
84100, -67.054214
84390, -66.036668
84680, -64.970082
84970, -63.873958
85260, -62.762518
85550, -61.646881
85840, -60.535000
86130, -59.430918
86420, -58.333855
86710, -57.237231
86999, -56.127451
87289, -54.981928
87579, -53.764965
87869, -52.415569
88159, -50.835079
88449, -48.847157
88739, -46.099269
89029, -41.844248
89319, -34.472527
89609, -21.458747
89899, -4.799258
90189, 2.140899
90479, -4.489830
90769, -16.385516
91059, -28.322692
91349, -39.052896
91639, -49.267093
91929, -59.308457
92219, -66.405768
92509, -68.886049
92799, -69.122733
93089, -68.581566
93379, -67.750687
93669, -66.789246
93959, -65.756472
94249, -64.680490
94539, -63.579033
94829, -62.465508
95119, -61.350302
95409, -60.240486
95699, -59.139007
95989, -58.043770
96279, -56.946651
96569, -55.831411
96859, -54.671266
97149, -53.424732
97439, -52.025466
97729, -50.362979
98019, -48.220504
98309, -45.174512
98599, -40.308207
98889, -31.702038
99179, -17.072435
99469, -1.488983
99759, 1.384951
100049, -7.410817
100339, -19.618365
100629, -31.248188
100919, -41.738416
101209, -51.963321
101499, -61.628596
101789, -67.419605
102079, -69.077298
102369, -69.024872
102659, -68.380734
102949, -67.506299
103239, -66.522238
103529, -65.475957
103819, -64.391760
104109, -63.285968
104399, -62.171202
104689, -61.057102
104979, -59.949829
105269, -58.850861
105559, -57.756027
105849, -56.654983
106139, -55.529399
106429, -54.349940
106719, -53.070491
107009, -51.616923
107299, -49.851818
107589, -47.525395
107879, -44.115172
108169, -38.496434
108459, -28.437354
108749, -12.461063
109039, 0.842747
109329, -0.201604
109619, -10.568343
109909, -22.828514
110199, -34.118214
110489, -44.441032
110779, -54.677632
111069, -63.674918
111359, -68.144799
111649, -69.161620
111939, -68.889292
112229, -68.163930
112519, -67.253239
112809, -66.249482
113099, -65.191258
113389, -64.099970
113679, -62.990793
113969, -61.875599
114259, -60.762830
114549, -59.657331
114839, -58.559349
115129, -57.463531
115419, -56.357761
115709, -55.221351
115999, -54.021661
116289, -52.707550
116579, -51.187515
116869, -49.306738
117159, -46.760550
