# ./result/hh_runge_0500.txt
# dt = 500 [usec]
# t [usec], V [mV]
0, -65.000000
500, -64.988674
1000, -64.979346
1500, -64.971514
2000, -64.965049
2500, -64.959901
3000, -64.956018
3500, -64.953324
4000, -64.951721
4500, -64.951089
5000, -64.951297
5500, -64.952206
6000, -64.953675
6500, -64.955569
7000, -64.957758
7500, -64.960122
8000, -64.962557
8500, -64.964970
9000, -64.967286
9500, -64.969442
10000, -64.971394
10500, -64.973110
11000, -64.974569
11500, -64.975766
12000, -64.976701
12500, -64.977387
13000, -64.977840
13500, -64.978081
14000, -64.978138
14500, -64.978037
15000, -64.977807
15500, -64.977476
16000, -64.977071
16500, -64.976618
17000, -64.976138
17500, -64.975652
18000, -64.975177
18500, -64.974727
19000, -64.974313
19500, -64.973943
20000, -64.973622
20500, -64.973353
21000, -64.973136
21500, -64.972972
22000, -64.972856
22500, -64.972784
23000, -64.972754
23500, -64.972758
24000, -64.972791
24500, -64.972848
25000, -64.972922
25500, -64.973010
26000, -64.973105
26500, -64.973204
27000, -64.973302
27500, -64.973397
28000, -64.973486
28500, -64.973566
29000, -64.973638
29500, -64.973699
30000, -64.973750
30500, -64.973789
31000, -64.973819
31500, -64.973839
32000, -64.973851
32500, -64.973855
33000, -64.973852
33500, -64.973844
34000, -64.973831
34500, -64.973816
35000, -64.973798
35500, -64.973779
36000, -64.973759
36500, -64.973740
37000, -64.973722
37500, -64.973705
38000, -64.973690
38500, -64.973676
39000, -64.973665
39500, -64.973656
40000, -64.973649
40500, -64.973644
41000, -64.973641
41500, -64.973640
42000, -64.973640
42500, -64.973641
43000, -64.973643
43500, -64.973646
44000, -64.973650
44500, -64.973654
45000, -64.973658
45500, -64.973662
46000, -64.973666
46500, -64.973669
47000, -64.973673
47500, -64.973676
48000, -64.973678
48500, -64.973680
49000, -64.973682
49500, -64.973683
50000, -64.973684
50500, -53.092994
51000, -38.643009
51500, 6.574093
52000, 18.675771
52500, -24.664837
53000, -23.156615
53500, -28.154791
54000, -38.758646
54500, -52.073922
55000, -65.373544
55500, -69.757861
56000, -69.636732
56500, -68.615792
57000, -67.548647
57500, -66.350950
58000, -64.969013
58500, -63.465833
59000, -61.915558
59500, -60.365514
60000, -58.827772
60500, -57.283554
61000, -55.671419
61500, -53.869526
62000, -51.628915
62500, -48.343493
63000, -42.320859
63500, -28.521021
64000, -3.045919
64500, -1.815548
65000, -18.802518
65500, -35.989698
66000, -51.483301
66500, -65.434415
67000, -69.925679
67500, -69.682585
68000, -68.618410
68500, -67.649586
69000, -66.560097
69500, -65.249750
70000, -63.782976
70500, -62.247702
71000, -60.702154
71500, -59.169381
72000, -57.639539
72500, -56.063081
73000, -54.344452
73500, -52.276202
74000, -49.404487
74500, -44.504374
75000, -33.888999
75500, -10.890090
76000, 2.665833
76500, -14.398672
77000, -31.728033
77500, -47.396823
78000, -62.313545
78500, -69.571839
79000, -69.976562
79500, -68.914728
80000, -67.904693
80500, -66.853571
81000, -65.592137
81500, -64.154166
82000, -62.628799
82500, -61.082121
83000, -59.546776
83500, -58.018493
84000, -56.463458
84500, -54.791535
85000, -52.839124
85500, -50.240011
86000, -46.052168
86500, -37.486832
87000, -17.759580
87500, 3.230359
88000, -10.875444
88500, -27.553310
89000, -43.441151
89500, -58.643675
90000, -68.711893
90500, -69.995075
91000, -69.097062
91500, -68.107158
92000, -67.112323
92500, -65.909896
93000, -64.508349
93500, -62.997224
94000, -61.452680
94500, -59.913494
95000, -58.387657
95500, -56.844112
96000, -55.214985
96500, -53.358168
97000, -50.975054
97500, -47.345177
98000, -40.354028
98500, -24.126676
99000, 0.502223
99500, -6.314435
100000, -22.789781
100500, -39.329122
101000, -54.653833
101500, -67.181563
102000, -69.948261
102500, -69.362193
103000, -68.361551
103500, -67.401216
104000, -66.261148
104500, -64.904718
105000, -63.414232
105500, -61.872550
106000, -60.330223
