# ./result/hh_euler_0870.txt
# dt = 870 [usec]
# t [usec], V [mV]
0, -65.000000
870, -64.997437
1740, -64.994988
2610, -64.992628
3480, -64.990342
4350, -64.988121
5220, -64.985962
6090, -64.983861
6960, -64.981819
7830, -64.979834
8700, -64.977907
9570, -64.976037
10440, -64.974226
11310, -64.972474
12180, -64.970782
13050, -64.969148
13920, -64.967575
14790, -64.966062
15660, -64.964609
16530, -64.963217
17400, -64.961884
18270, -64.960612
19140, -64.959400
20010, -64.958248
20880, -64.957155
21750, -64.956121
22620, -64.955145
23490, -64.954228
24360, -64.953367
25230, -64.952564
26100, -64.951816
26970, -64.951123
27840, -64.950485
28710, -64.949901
29580, -64.949368
30450, -64.948888
31320, -64.948458
32190, -64.948077
33060, -64.947745
33930, -64.947461
34800, -64.947222
35670, -64.947029
36540, -64.946879
37410, -64.946772
38280, -64.946706
39150, -64.946680
40020, -64.946693
40890, -64.946744
41760, -64.946831
42630, -64.946953
43500, -64.947108
44370, -64.947296
45240, -64.947514
46110, -64.947763
46980, -64.948039
47850, -64.948343
48720, -64.948672
49590, -64.949026
50460, -64.949402
51330, -64.949801
52200, -64.950220
53070, -64.950658
53940, -64.951114
54810, -64.951587
55680, -64.952076
56550, -64.952579
57420, -64.953094
58290, -64.953622
59160, -64.954161
60030, -64.954710
60900, -64.955267
61770, -64.955831
62640, -64.956402
63510, -64.956979
64380, -64.957560
65250, -64.958144
66120, -64.958731
66990, -64.959320
67860, -64.959909
68730, -64.960499
69600, -64.961087
70470, -64.961673
71340, -64.962257
72210, -64.962838
73080, -64.963415
73950, -64.963987
74820, -64.964554
75690, -64.965115
76560, -64.965669
77430, -64.966216
78300, -64.966755
79170, -64.967287
80040, -64.967809
80910, -64.968323
81780, -64.968826
82650, -64.969320
83520, -64.969804
84390, -64.970277
85260, -64.970739
86130, -64.971190
87000, -64.971629
87870, -64.972056
88740, -64.972472
89610, -64.972875
90480, -64.973266
91350, -64.973644
92220, -64.974010
93090, -64.974363
93960, -64.974704
94830, -64.975031
95700, -64.975346
96570, -64.975647
97440, -64.975936
98310, -64.976212
99180, -64.976475
100050, -64.976725
100920, -64.976963
101790, -64.977188
102660, -64.977400
103530, -64.977600
104400, -64.977788
105270, -64.977963
106140, -64.978127
107010, -64.978278
107880, -64.978418
108750, -64.978547
109620, -64.978664
110490, -64.978771
111360, -64.978866
112230, -64.978951
113100, -64.979025
113970, -64.979090
114840, -64.979144
115710, -64.979189
116580, -64.979225
117450, -64.979251
118320, -64.979269
119190, -64.979278
120060, -64.979278
120930, -64.979271
121800, -64.979256
122670, -64.979233
123540, -64.979203
124410, -64.979167
125280, -64.979123
126150, -64.979074
127020, -64.979018
127890, -64.978956
128760, -64.978889
129630, -64.978817
130500, -64.978740
131370, -64.978658
132240, -64.978572
133110, -64.978481
133980, -64.978387
134850, -64.978289
135720, -64.978188
136590, -64.978084
137460, -64.977976
138330, -64.977867
139200, -64.977755
140070, -64.977640
140940, -64.977524
141810, -64.977406
142680, -64.977287
143550, -64.977167
144420, -64.977045
145290, -64.976923
146160, -64.976800
147030, -64.976677
147900, -64.976554
148770, -64.976430
149640, -64.976307
150510, -64.976184
151380, -64.976061
152250, -64.975939
153120, -64.975818
153990, -64.975698
154860, -64.975579
155730, -64.975461
156600, -64.975344
157470, -64.975229
158340, -64.975115
159210, -64.975004
160080, -64.974893
160950, -64.974785
161820, -64.974679
162690, -64.974575
163560, -64.974473
164430, -64.974373
165300, -64.974275
166170, -64.974180
167040, -64.974087
167910, -64.973996
168780, -64.973909
169650, -64.973823
170520, -64.973740
171390, -64.973660
172260, -64.973583
173130, -64.973508
174000, -64.973435
174870, -64.973366
175740, -64.973299
176610, -64.973235
177480, -64.973174
178350, -64.973115
179220, -64.973059
180090, -64.973005
180960, -64.972955
181830, -64.972907
182700, -64.972862
183570, -64.972819
184440, -64.972779
185310, -64.972741
186180, -64.972706
187050, -64.972674
187920, -64.972643
188790, -64.972616
189660, -64.972591
190530, -64.972568
191400, -64.972547
192270, -64.972529
193140, -64.972512
194010, -64.972498
194880, -64.972486
195750, -64.972477
196620, -64.972469
197490, -64.972463
198360, -64.972459
199230, -64.972456
200100, -64.972456
200970, -64.972457
201840, -64.972460
202710, -64.972465
203580, -64.972471
204450, -64.972478
205320, -64.972487
206190, -64.972497
207060, -64.972509
207930, -64.972522
208800, -64.972536
209670, -64.972551
210540, -64.972567
211410, -64.972584
212280, -64.972603
213150, -64.972622
214020, -64.972642
214890, -64.972662
215760, -64.972684
216630, -64.972706
217500, -64.972728
218370, -64.972752
219240, -64.972775
220110, -64.972800
220980, -64.972824
221850, -64.972849
222720, -64.972875
223590, -64.972900
224460, -64.972926
225330, -64.972952
226200, -64.972978
227070, -64.973005
227940, -64.973031
228810, -64.973057
229680, -64.973084
230550, -64.973110
231420, -64.973136
232290, -64.973162
233160, -64.973188
234030, -64.973214
234900, -64.973239
235770, -64.973265
236640, -64.973290
237510, -64.973314
238380, -64.973339
239250, -64.973363
240120, -64.973387
240990, -64.973410
241860, -64.973433
242730, -64.973455
243600, -64.973477
244470, -64.973499
245340, -64.973520
246210, -64.973540
247080, -64.973560
247950, -64.973580
248820, -64.973599
249690, -64.973617
250560, -64.973635
251430, -64.973653
252300, -64.973670
253170, -64.973686
254040, -64.973702
254910, -64.973717
255780, -64.973731
256650, -64.973745
257520, -64.973759
258390, -64.973771
259260, -64.973784
260130, -64.973795
261000, -64.973807
261870, -64.973817
262740, -64.973827
263610, -64.973837
264480, -64.973845
265350, -64.973854
266220, -64.973862
267090, -64.973869
267960, -64.973876
268830, -64.973882
269700, -64.973888
270570, -64.973893
271440, -64.973898
272310, -64.973902
273180, -64.973906
274050, -64.973909
274920, -64.973912
275790, -64.973914
276660, -64.973916
277530, -64.973918
278400, -64.973919
