# ./result/hh_impl_0530.txt
# dt = 530 [usec]
# t [usec], V [mV]
0, -65.000000
530, -64.998421
1060, -64.996892
1590, -64.995406
2120, -64.993958
2650, -64.992543
3180, -64.991160
3710, -64.989806
4240, -64.988478
4770, -64.987175
5300, -64.985896
5830, -64.984640
6360, -64.983407
6890, -64.982196
7420, -64.981007
7950, -64.979839
8480, -64.978692
9010, -64.977567
9540, -64.976463
10070, -64.975379
10600, -64.974317
11130, -64.973276
11660, -64.972256
12190, -64.971258
12720, -64.970280
13250, -64.969324
13780, -64.968389
14310, -64.967475
14840, -64.966582
15370, -64.965711
15900, -64.964861
16430, -64.964032
16960, -64.963224
17490, -64.962438
18020, -64.961673
18550, -64.960928
19080, -64.960206
19610, -64.959504
20140, -64.958823
20670, -64.958163
21200, -64.957523
21730, -64.956905
22260, -64.956307
22790, -64.955730
23320, -64.955173
23850, -64.954636
24380, -64.954120
24910, -64.953623
25440, -64.953147
25970, -64.952690
26500, -64.952253
27030, -64.951835
27560, -64.951436
28090, -64.951057
28620, -64.950696
29150, -64.950354
29680, -64.950030
30210, -64.949725
30740, -64.949437
31270, -64.949168
31800, -64.948916
32330, -64.948682
32860, -64.948464
33390, -64.948264
33920, -64.948081
34450, -64.947914
34980, -64.947763
35510, -64.947628
36040, -64.947509
36570, -64.947406
37100, -64.947317
37630, -64.947244
38160, -64.947186
38690, -64.947142
39220, -64.947112
39750, -64.947096
40280, -64.947094
40810, -64.947105
41340, -64.947130
41870, -64.947167
42400, -64.947217
42930, -64.947279
43460, -64.947353
43990, -64.947439
44520, -64.947537
45050, -64.947645
45580, -64.947765
46110, -64.947895
46640, -64.948036
47170, -64.948187
47700, -64.948348
48230, -64.948518
48760, -64.948698
49290, -64.948886
49820, -64.949083
50350, -64.949289
50880, -64.949503
51410, -64.949725
51940, -64.949955
52470, -64.950191
53000, -64.950436
53530, -64.950686
54060, -64.950944
54590, -64.951208
55120, -64.951478
55650, -64.951753
56180, -64.952035
56710, -64.952321
57240, -64.952613
57770, -64.952910
58300, -64.953211
58830, -64.953516
59360, -64.953825
59890, -64.954139
60420, -64.954456
60950, -64.954776
61480, -64.955099
62010, -64.955426
62540, -64.955755
63070, -64.956086
63600, -64.956420
64130, -64.956756
64660, -64.957093
65190, -64.957432
65720, -64.957773
66250, -64.958115
66780, -64.958458
67310, -64.958802
67840, -64.959146
68370, -64.959491
68900, -64.959836
69430, -64.960181
69960, -64.960526
70490, -64.960871
71020, -64.961215
71550, -64.961559
72080, -64.961902
72610, -64.962244
73140, -64.962585
73670, -64.962925
74200, -64.963264
74730, -64.963600
75260, -64.963936
75790, -64.964269
76320, -64.964601
76850, -64.964930
77380, -64.965257
77910, -64.965582
78440, -64.965905
78970, -64.966225
79500, -64.966542
80030, -64.966857
80560, -64.967168
81090, -64.967477
81620, -64.967783
82150, -64.968085
82680, -64.968384
83210, -64.968680
83740, -64.968973
84270, -64.969262
84800, -64.969547
85330, -64.969829
85860, -64.970107
86390, -64.970381
86920, -64.970651
87450, -64.970918
87980, -64.971180
88510, -64.971439
89040, -64.971693
89570, -64.971943
90100, -64.972189
90630, -64.972431
91160, -64.972669
91690, -64.972902
92220, -64.973131
92750, -64.973356
93280, -64.973577
93810, -64.973793
94340, -64.974004
94870, -64.974211
95400, -64.974414
95930, -64.974612
96460, -64.974806
96990, -64.974995
97520, -64.975180
98050, -64.975360
98580, -64.975536
99110, -64.975707
99640, -64.975874
100170, -64.976036
100700, -64.976194
101230, -64.976347
101760, -64.976496
102290, -64.976641
102820, -64.976781
103350, -64.976916
103880, -64.977048
104410, -64.977174
104940, -64.977297
105470, -64.977415
106000, -64.977529
106530, -64.977639
107060, -64.977744
107590, -64.977845
108120, -64.977942
108650, -64.978035
109180, -64.978124
109710, -64.978209
110240, -64.978290
110770, -64.978366
111300, -64.978439
111830, -64.978508
112360, -64.978573
112890, -64.978634
113420, -64.978692
113950, -64.978746
114480, -64.978796
115010, -64.978842
115540, -64.978885
116070, -64.978924
116600, -64.978960
117130, -64.978993
117660, -64.979022
118190, -64.979048
118720, -64.979070
