# ./result/hh_runge_0580.txt
# dt = 580 [usec]
# t [usec], V [mV]
0, -65.000000
580, -64.998275
1160, -64.996608
1740, -64.994990
2320, -64.993414
2900, -64.991877
3480, -64.990373
4060, -64.988901
4640, -64.987459
5220, -64.986045
5800, -64.984658
6380, -64.983298
6960, -64.981964
7540, -64.980656
8120, -64.979373
8700, -64.978116
9280, -64.976884
9860, -64.975677
10440, -64.974496
11020, -64.973341
11600, -64.972211
12180, -64.971107
12760, -64.970028
13340, -64.968976
13920, -64.967949
14500, -64.966948
15080, -64.965973
15660, -64.965024
16240, -64.964100
16820, -64.963203
17400, -64.962332
17980, -64.961486
18560, -64.960666
19140, -64.959872
19720, -64.959104
20300, -64.958361
20880, -64.957644
21460, -64.956952
22040, -64.956285
22620, -64.955644
23200, -64.955027
23780, -64.954435
24360, -64.953868
24940, -64.953325
25520, -64.952806
26100, -64.952312
26680, -64.951841
27260, -64.951393
27840, -64.950969
28420, -64.950568
29000, -64.950190
29580, -64.949835
30160, -64.949501
30740, -64.949190
31320, -64.948900
31900, -64.948632
32480, -64.948385
33060, -64.948159
33640, -64.947953
34220, -64.947768
34800, -64.947602
35380, -64.947456
35960, -64.947329
36540, -64.947221
37120, -64.947131
37700, -64.947060
38280, -64.947006
38860, -64.946970
39440, -64.946951
40020, -64.946949
40600, -64.946963
41180, -64.946994
41760, -64.947039
42340, -64.947101
42920, -64.947177
43500, -64.947267
44080, -64.947372
44660, -64.947491
45240, -64.947623
45820, -64.947768
46400, -64.947926
46980, -64.948096
47560, -64.948278
48140, -64.948471
48720, -64.948676
49300, -64.948892
49880, -64.949118
50460, -64.949354
51040, -64.949600
51620, -64.949856
52200, -64.950120
52780, -64.950393
53360, -64.950674
53940, -64.950963
54520, -64.951260
55100, -64.951564
55680, -64.951875
56260, -64.952192
56840, -64.952516
57420, -64.952846
58000, -64.953181
58580, -64.953521
59160, -64.953866
59740, -64.954216
60320, -64.954570
60900, -64.954928
61480, -64.955290
62060, -64.955655
62640, -64.956023
63220, -64.956393
63800, -64.956767
64380, -64.957142
64960, -64.957519
65540, -64.957898
66120, -64.958278
66700, -64.958660
67280, -64.959042
67860, -64.959425
68440, -64.959808
69020, -64.960191
69600, -64.960574
70180, -64.960957
70760, -64.961339
71340, -64.961720
71920, -64.962100
72500, -64.962479
73080, -64.962856
73660, -64.963232
74240, -64.963606
74820, -64.963977
75400, -64.964347
75980, -64.964714
76560, -64.965078
77140, -64.965440
77720, -64.965799
78300, -64.966155
78880, -64.966507
79460, -64.966856
80040, -64.967202
80620, -64.967544
81200, -64.967882
81780, -64.968216
82360, -64.968547
82940, -64.968873
83520, -64.969194
84100, -64.969512
84680, -64.969825
85260, -64.970133
85840, -64.970437
86420, -64.970736
87000, -64.971030
87580, -64.971320
88160, -64.971604
88740, -64.971883
89320, -64.972158
89900, -64.972427
90480, -64.972691
91060, -64.972950
91640, -64.973203
92220, -64.973451
92800, -64.973694
93380, -64.973931
93960, -64.974163
94540, -64.974389
95120, -64.974610
95700, -64.974826
96280, -64.975036
96860, -64.975240
97440, -64.975439
98020, -64.975633
98600, -64.975821
99180, -64.976003
99760, -64.976180
100340, -64.976352
100920, -64.976518
101500, -64.976678
102080, -64.976834
102660, -64.976983
103240, -64.977128
103820, -64.977267
104400, -64.977401
104980, -64.977529
105560, -64.977652
106140, -64.977770
106720, -64.977883
107300, -64.977991
107880, -64.978094
108460, -64.978191
109040, -64.978284
109620, -64.978372
110200, -64.978455
110780, -64.978533
111360, -64.978606
111940, -64.978675
112520, -64.978739
113100, -64.978799
113680, -64.978854
114260, -64.978904
114840, -64.978950
115420, -64.978992
116000, -64.979030
116580, -64.979063
117160, -64.979093
117740, -64.979118
118320, -64.979140
118900, -64.979157
119480, -64.979171
120060, -64.979181
120640, -64.979188
121220, -64.979191
121800, -64.979190
122380, -64.979186
122960, -64.979179
123540, -64.979168
124120, -64.979154
124700, -64.979137
125280, -64.979117
125860, -64.979095
126440, -64.979069
127020, -64.979040
127600, -64.979009
128180, -64.978975
128760, -64.978939
129340, -64.978900
129920, -64.978859
130500, -64.978815
131080, -64.978769
131660, -64.978722
132240, -64.978671
132820, -64.978619
133400, -64.978566
133980, -64.978510
134560, -64.978452
135140, -64.978393
135720, -64.978332
136300, -64.978270
136880, -64.978206
137460, -64.978140
138040, -64.978074
138620, -64.978006
139200, -64.977937
139780, -64.977866
140360, -64.977795
140940, -64.977723
141520, -64.977649
142100, -64.977575
142680, -64.977500
143260, -64.977425
143840, -64.977348
144420, -64.977272
145000, -64.977194
145580, -64.977116
146160, -64.977038
146740, -64.976959
147320, -64.976880
147900, -64.976801
148480, -64.976721
