# ./result/hh_cnexp_0460.txt
# dt = 460 [usec]
# t [usec], V [mV]
0, -65.000000
460, -64.989364
920, -64.980072
1380, -64.971993
1840, -64.965168
2300, -64.959617
2760, -64.955321
3220, -64.952227
3680, -64.950250
4140, -64.949288
4600, -64.949218
5060, -64.949911
5520, -64.951233
5980, -64.953048
6440, -64.955228
6900, -64.957650
7360, -64.960204
7820, -64.962790
8280, -64.965323
8740, -64.967733
9200, -64.969963
9660, -64.971972
10120, -64.973731
10580, -64.975221
11040, -64.976438
11500, -64.977386
11960, -64.978074
12420, -64.978521
12880, -64.978750
13340, -64.978785
13800, -64.978656
14260, -64.978391
14720, -64.978018
15180, -64.977566
15640, -64.977060
16100, -64.976524
16560, -64.975979
17020, -64.975444
17480, -64.974933
17940, -64.974459
18400, -64.974031
18860, -64.973655
19320, -64.973336
19780, -64.973074
20240, -64.972870
20700, -64.972720
21160, -64.972622
21620, -64.972570
22080, -64.972560
22540, -64.972586
23000, -64.972641
23460, -64.972719
23920, -64.972815
24380, -64.972923
24840, -64.973038
25300, -64.973154
25760, -64.973270
26220, -64.973380
26680, -64.973482
27140, -64.973575
27600, -64.973657
28060, -64.973727
28520, -64.973785
28980, -64.973831
29440, -64.973865
29900, -64.973887
30360, -64.973900
30820, -64.973904
31280, -64.973900
31740, -64.973889
32200, -64.973874
32660, -64.973854
33120, -64.973832
33580, -64.973808
34040, -64.973784
34500, -64.973760
34960, -64.973737
35420, -64.973715
35880, -64.973696
36340, -64.973678
36800, -64.973664
37260, -64.973651
37720, -64.973642
38180, -64.973635
38640, -64.973630
39100, -64.973627
39560, -64.973626
40020, -64.973627
40480, -64.973630
40940, -64.973633
41400, -64.973637
41860, -64.973642
42320, -64.973647
42780, -64.973653
43240, -64.973658
43700, -64.973663
44160, -64.973668
44620, -64.973672
45080, -64.973676
45540, -64.973679
46000, -64.973682
46460, -64.973684
46920, -64.973686
47380, -64.973687
47840, -64.973688
48300, -64.973688
48760, -64.973688
49220, -64.973687
49680, -64.973687
50140, -64.973686
50600, -53.817182
51060, -40.753769
51520, -1.477960
51980, 36.502156
52440, 21.815152
52900, -3.177423
53360, -24.141074
53820, -40.883807
54280, -56.786551
54740, -69.501328
55200, -72.223594
55660, -71.969919
56120, -71.060317
56580, -69.905872
57040, -68.600896
57500, -67.186444
57960, -65.697426
58420, -64.168483
58880, -62.631042
59340, -61.105548
59800, -59.597322
60260, -58.085184
60720, -56.522333
61180, -54.804291
