# ./result/hh_euler_0720.txt
# dt = 720 [usec]
# t [usec], V [mV]
0, -65.000000
720, -64.985324
1440, -64.966429
2160, -64.962981
2880, -64.944942
3600, -64.958776
4320, -64.931077
5040, -64.974040
5760, -64.910767
6480, -65.011975
7200, -64.848617
7920, -65.075569
8640, -64.627031
9360, -65.111926
10080, -63.760172
10800, -64.735023
11520, -60.953217
12240, -62.725100
12960, -60.948119
13680, -62.757499
14400, -62.874452
15120, -64.611943
15840, -64.155114
16560, -65.579977
17280, -60.870484
18000, -63.399529
18720, -60.575888
19440, -63.118561
20160, -62.995995
20880, -65.057397
21600, -63.106264
22320, -65.099850
23040, -56.874918
23760, -56.868290
24480, -54.061209
25200, -44.977594
25920, 6.357060
26640, 44.048936
27360, 54.968966
28080, 49.937122
28800, 50.001474
29520, 49.999974
30240, 50.000000
30960, 50.000000
31680, 50.000000
32400, 50.000000
33120, 50.000000
33840, 50.000000
34560, 50.000000
35280, 50.000000
36000, 50.000000
36720, 50.000000
37440, 50.000000
38160, 50.000000
38880, 50.000000
39600, 50.000000
40320, 50.000000
41040, 50.000000
41760, 50.000000
42480, 50.000000
43200, 50.000000
43920, 50.000000
44640, 50.000000
45360, 50.000000
46080, 50.000000
46800, 50.000000
47520, 50.000000
48240, 50.000000
48960, 50.000000
49680, 50.000000
50400, 50.000000
51120, 50.000000
51840, 50.000000
52560, 50.000000
53280, 50.000000
54000, 50.000000
54720, 50.000000
55440, 50.000000
56160, 50.000000
56880, 50.000000
57600, 50.000000
58320, 50.000000
59040, 50.000000
59760, 50.000000
60480, 50.000000
61200, 50.000000
61920, 50.000000
62640, 50.000000
63360, 50.000000
64080, 50.000000
64800, 50.000000
65520, 50.000000
66240, 50.000000
66960, 50.000000
67680, 50.000000
68400, 50.000000
69120, 50.000000
69840, 50.000000
70560, 50.000000
71280, 50.000000
72000, 50.000000
72720, 50.000000
73440, 50.000000
74160, 50.000000
74880, 50.000000
75600, 50.000000
76320, 50.000000
77040, 50.000000
77760, 50.000000
78480, 50.000000
79200, 50.000000
79920, 50.000000
80640, 50.000000
81360, 50.000000
82080, 50.000000
82800, 50.000000
83520, 50.000000
84240, 50.000000
84960, 50.000000
85680, 50.000000
86400, 50.000000
87120, 50.000000
87840, 50.000000
88560, 50.000000
89280, 50.000000
90000, 50.000000
90720, 50.000000
91440, 50.000000
92160, 50.000000
92880, 50.000000
93600, 50.000000
94320, 50.000000
95040, 50.000000
95760, 50.000000
96480, 50.000000
97200, 50.000000
97920, 50.000000
98640, 50.000000
99360, 50.000000
100080, 50.000000
100800, 50.000000
101520, 50.000000
102240, 50.000000
102960, 50.000000
103680, 50.000000
104400, 50.000000
105120, 50.000000
105840, 50.000000
