# ./result/hh_impl_0720.txt
# dt = 720 [usec]
# t [usec], V [mV]
0, -65.000000
720, -64.985324
1440, -64.973772
2160, -64.964737
2880, -64.958106
3600, -64.953750
4320, -64.951451
5040, -64.950920
5760, -64.951825
6480, -64.953817
7200, -64.956556
7920, -64.959728
8640, -64.963056
9360, -64.966314
10080, -64.969324
10800, -64.971962
11520, -64.974149
12240, -64.975852
12960, -64.977071
13680, -64.977835
14400, -64.978194
15120, -64.978211
15840, -64.977957
16560, -64.977502
17280, -64.976916
18000, -64.976260
18720, -64.975587
19440, -64.974940
20160, -64.974352
20880, -64.973845
21600, -64.973432
22320, -64.973118
23040, -64.972901
23760, -64.972773
24480, -64.972724
25200, -64.972741
25920, -64.972808
26640, -64.972912
27360, -64.973038
28080, -64.973175
28800, -64.973313
29520, -64.973443
30240, -64.973559
30960, -64.973658
31680, -64.973738
32400, -64.973796
33120, -64.973836
33840, -64.973858
34560, -64.973864
35280, -64.973858
36000, -64.973843
36720, -64.973820
37440, -64.973794
38160, -64.973767
38880, -64.973739
39600, -64.973714
40320, -64.973692
41040, -64.973673
41760, -64.973659
42480, -64.973648
43200, -64.973641
43920, -64.973638
44640, -64.973638
45360, -64.973640
46080, -64.973644
46800, -64.973649
47520, -64.973654
48240, -64.973660
48960, -64.973666
49680, -64.973671
50400, -49.582332
51120, -29.185883
51840, 20.727565
52560, 22.179027
53280, -3.650750
54000, -27.342031
54720, -45.121410
55440, -60.729829
56160, -70.213281
56880, -71.381899
57600, -70.183769
58320, -68.338183
59040, -66.205274
59760, -63.951335
60480, -61.707931
61200, -59.556703
61920, -57.500276
62640, -55.451491
63360, -53.223643
64080, -50.454614
64800, -46.301624
65520, -38.550799
66240, -22.776534
66960, -6.572566
67680, -13.875491
68400, -31.835649
69120, -47.706168
69840, -61.654521
70560, -69.267312
71280, -69.983090
72000, -68.605313
72720, -66.617724
73440, -64.414151
74160, -62.182810
74880, -60.038018
75600, -58.015050
76320, -56.063535
77040, -54.054550
77760, -51.761572
78480, -48.729439
79200, -43.896487
79920, -34.658075
80640, -18.355155
81360, -9.399028
82080, -21.305413
82800, -38.125577
83520, -52.916087
84240, -65.249202
84960, -69.733720
85680, -69.379212
86400, -67.700830
87120, -65.601717
87840, -63.374134
88560, -61.177950
89280, -59.096000
90000, -57.125714
90720, -55.182900
91440, -53.105751
92160, -50.607262
92880, -47.067580
93600, -40.993950
94320, -29.141936
95040, -12.883913
95760, -12.694280
96480, -28.218725
97200, -44.143570
97920, -58.314025
98640, -67.961932
99360, -69.841752
100080, -68.763805
100800, -66.866045
101520, -64.691751
102240, -62.462990
102960, -60.308934
103680, -58.278272
104400, -56.333862
105120, -54.361449
105840, -52.159337
