# ./result/hh_runge_0820.txt
# dt = 820 [usec]
# t [usec], V [mV]
0, -65.000000
820, -64.984013
1640, -64.980898
2460, -64.996819
3280, -65.043705
4100, -65.146988
4920, -65.353506
5740, -65.706761
6560, -66.025905
7380, -76.900606
8200, 50.013611
9020, 50.000000
9840, 50.000000
10660, 50.000000
11480, 50.000000
12300, 50.000000
13120, 50.000000
13940, 50.000000
14760, 50.000000
15580, 50.000000
16400, 50.000000
17220, 50.000000
18040, 50.000000
18860, 50.000000
19680, 50.000000
20500, 50.000000
21320, 50.000000
22140, 50.000000
22960, 50.000000
23780, 50.000000
24600, 50.000000
25420, 50.000000
26240, 50.000000
27060, 50.000000
27880, 50.000000
28700, 50.000000
29520, 50.000000
30340, 50.000000
31160, 50.000000
31980, 50.000000
32800, 50.000000
33620, 50.000000
34440, 50.000000
35260, 50.000000
36080, 50.000000
36900, 50.000000
37720, 50.000000
38540, 50.000000
39360, 50.000000
40180, 50.000000
41000, 50.000000
41820, 50.000000
42640, 50.000000
43460, 50.000000
44280, 50.000000
45100, 50.000000
45920, 50.000000
46740, 50.000000
47560, 50.000000
48380, 50.000000
49200, 50.000000
50020, 50.000000
50840, 50.000000
51660, 50.000000
52480, 50.000000
53300, nan
54120, nan
54940, nan
55760, nan
56580, nan
57400, nan
58220, nan
59040, nan
59860, nan
60680, nan
61500, nan
62320, nan
63140, nan
63960, nan
64780, nan
65600, nan
66420, nan
67240, nan
68060, nan
68880, nan
69700, nan
70520, nan
71340, nan
72160, nan
72980, nan
73800, nan
74620, nan
75440, nan
76260, nan
77080, nan
77900, nan
78720, nan
79540, nan
80360, nan
81180, nan
82000, nan
82820, nan
83640, nan
84460, nan
85280, nan
86100, nan
86920, nan
87740, nan
88560, nan
89380, nan
90200, nan
91020, nan
91840, nan
92660, nan
93480, nan
94300, nan
95120, nan
95940, nan
96760, nan
97580, nan
98400, nan
99220, nan
100040, nan
100860, nan
101680, nan
102500, nan
103320, nan
104140, nan
104960, nan
105780, nan
106600, nan
107420, nan
108240, nan
109060, nan
109880, nan
110700, nan
111520, nan
112340, nan
113160, nan
113980, nan
114800, nan
115620, nan
116440, nan
117260, nan
118080, nan
118900, nan
119720, nan
120540, nan
121360, nan
122180, nan
123000, nan
123820, nan
124640, nan
125460, nan
126280, nan
127100, nan
127920, nan
128740, nan
129560, nan
130380, nan
131200, nan
132020, nan
132840, nan
133660, nan
134480, nan
135300, nan
136120, nan
136940, nan
137760, nan
138580, nan
139400, nan
140220, nan
141040, nan
141860, nan
142680, nan
143500, nan
144320, nan
145140, nan
145960, nan
146780, nan
147600, nan
148420, nan
149240, nan
150060, nan
150880, nan
151700, nan
152520, nan
153340, nan
154160, nan
154980, nan
155800, nan
156620, nan
157440, nan
158260, nan
159080, nan
159900, nan
160720, nan
161540, nan
162360, nan
163180, nan
164000, nan
164820, nan
165640, nan
166460, nan
167280, nan
168100, nan
168920, nan
169740, nan
170560, nan
171380, nan
172200, nan
173020, nan
173840, nan
174660, nan
175480, nan
176300, nan
177120, nan
177940, nan
178760, nan
179580, nan
180400, nan
181220, nan
182040, nan
182860, nan
183680, nan
184500, nan
185320, nan
186140, nan
186960, nan
187780, nan
188600, nan
189420, nan
190240, nan
191060, nan
191880, nan
192700, nan
193520, nan
194340, nan
195160, nan
195980, nan
196800, nan
197620, nan
198440, nan
199260, nan
200080, nan
200900, nan
201720, nan
202540, nan
203360, nan
204180, nan
205000, nan
205820, nan
206640, nan
207460, nan
208280, nan
209100, nan
209920, nan
210740, nan
211560, nan
212380, nan
213200, nan
214020, nan
214840, nan
215660, nan
216480, nan
217300, nan
218120, nan
218940, nan
219760, nan
220580, nan
221400, nan
222220, nan
223040, nan
223860, nan
224680, nan
225500, nan
226320, nan
227140, nan
227960, nan
228780, nan
229600, nan
230420, nan
231240, nan
232060, nan
232880, nan
233700, nan
234520, nan
235340, nan
236160, nan
236980, nan
237800, nan
238620, nan
239440, nan
240260, nan
241080, nan
241900, nan
242720, nan
243540, nan
244360, nan
245180, nan
246000, nan
246820, nan
247640, nan
248460, nan
249280, nan
250100, nan
250920, nan
251740, nan
252560, nan
253380, nan
254200, nan
255020, nan
255840, nan
256660, nan
257480, nan
258300, nan
259120, nan
259940, nan
260760, nan
261580, nan
262400, nan
263220, nan
264040, nan
264860, nan
265680, nan
266500, nan
267320, nan
268140, nan
268960, nan
269780, nan
270600, nan
271420, nan
272240, nan
273060, nan
273880, nan
274700, nan
275520, nan
276340, nan
277160, nan
277980, nan
278800, nan
279620, nan
280440, nan
281260, nan
282080, nan
282900, nan
283720, nan
284540, nan
285360, nan
286180, nan
287000, nan
287820, nan
288640, nan
289460, nan
290280, nan
291100, nan
291920, nan
292740, nan
293560, nan
294380, nan
295200, nan
296020, nan
296840, nan
297660, nan
298480, nan
299300, nan
300120, nan
