# ./result/hh_euler_0850.txt
# dt = 850 [usec]
# t [usec], V [mV]
0, -65.000000
850, -64.997495
1700, -64.995098
2550, -64.992788
3400, -64.990549
4250, -64.988374
5100, -64.986258
5950, -64.984198
6800, -64.982193
7650, -64.980244
8500, -64.978349
9350, -64.976510
10200, -64.974726
11050, -64.972998
11900, -64.971327
12750, -64.969713
13600, -64.968155
14450, -64.966655
15300, -64.965213
16150, -64.963827
17000, -64.962500
17850, -64.961230
18700, -64.960017
19550, -64.958861
20400, -64.957762
21250, -64.956719
22100, -64.955733
22950, -64.954802
23800, -64.953926
24650, -64.953105
25500, -64.952337
26350, -64.951623
27200, -64.950961
28050, -64.950351
28900, -64.949791
29750, -64.949281
30600, -64.948821
31450, -64.948408
32300, -64.948043
33150, -64.947723
34000, -64.947449
34850, -64.947219
35700, -64.947031
36550, -64.946885
37400, -64.946780
38250, -64.946715
39100, -64.946687
39950, -64.946697
40800, -64.946743
41650, -64.946823
42500, -64.946937
43350, -64.947083
44200, -64.947260
45050, -64.947467
45900, -64.947702
46750, -64.947965
47600, -64.948254
48450, -64.948568
49300, -64.948905
50150, -64.949265
51000, -64.949646
51850, -64.950047
52700, -64.950467
53550, -64.950904
54400, -64.951359
55250, -64.951828
56100, -64.952312
56950, -64.952809
57800, -64.953318
58650, -64.953837
59500, -64.954367
60350, -64.954906
61200, -64.955452
62050, -64.956006
62900, -64.956565
63750, -64.957129
64600, -64.957697
65450, -64.958269
66300, -64.958842
67150, -64.959417
68000, -64.959993
68850, -64.960568
69700, -64.961142
70550, -64.961715
71400, -64.962285
72250, -64.962852
73100, -64.963415
73950, -64.963974
74800, -64.964527
75650, -64.965075
76500, -64.965617
77350, -64.966152
78200, -64.966680
79050, -64.967200
79900, -64.967712
80750, -64.968215
81600, -64.968709
82450, -64.969194
83300, -64.969669
84150, -64.970134
85000, -64.970588
85850, -64.971032
86700, -64.971465
87550, -64.971887
88400, -64.972297
89250, -64.972696
90100, -64.973083
90950, -64.973459
91800, -64.973822
92650, -64.974174
93500, -64.974513
94350, -64.974840
95200, -64.975154
96050, -64.975457
96900, -64.975747
97750, -64.976025
98600, -64.976290
99450, -64.976543
100300, -64.976784
101150, -64.977013
102000, -64.977230
102850, -64.977435
103700, -64.977628
104550, -64.977810
105400, -64.977980
106250, -64.978138
107100, -64.978286
107950, -64.978422
108800, -64.978547
109650, -64.978662
110500, -64.978766
111350, -64.978859
112200, -64.978943
113050, -64.979016
113900, -64.979080
114750, -64.979135
115600, -64.979180
116450, -64.979216
117300, -64.979244
118150, -64.979263
119000, -64.979274
119850, -64.979277
120700, -64.979272
121550, -64.979259
122400, -64.979240
123250, -64.979213
124100, -64.979180
124950, -64.979140
125800, -64.979095
126650, -64.979043
127500, -64.978986
128350, -64.978923
129200, -64.978855
130050, -64.978782
130900, -64.978705
131750, -64.978623
132600, -64.978537
133450, -64.978448
134300, -64.978355
135150, -64.978258
136000, -64.978158
136850, -64.978056
137700, -64.977950
138550, -64.977843
139400, -64.977733
140250, -64.977621
141100, -64.977507
141950, -64.977392
142800, -64.977276
143650, -64.977158
144500, -64.977040
145350, -64.976920
146200, -64.976800
147050, -64.976680
147900, -64.976559
148750, -64.976439
149600, -64.976318
150450, -64.976198
151300, -64.976079
152150, -64.975959
153000, -64.975841
153850, -64.975723
154700, -64.975607
155550, -64.975491
156400, -64.975377
157250, -64.975264
158100, -64.975153
158950, -64.975043
159800, -64.974935
160650, -64.974828
161500, -64.974724
162350, -64.974621
163200, -64.974521
164050, -64.974422
164900, -64.974326
165750, -64.974231
166600, -64.974139
167450, -64.974050
168300, -64.973962
169150, -64.973877
170000, -64.973795
170850, -64.973715
171700, -64.973637
172550, -64.973562
173400, -64.973490
174250, -64.973420
175100, -64.973353
175950, -64.973288
176800, -64.973226
177650, -64.973166
178500, -64.973109
179350, -64.973055
180200, -64.973003
181050, -64.972954
181900, -64.972907
182750, -64.972863
183600, -64.972821
184450, -64.972781
185300, -64.972745
186150, -64.972710
187000, -64.972678
187850, -64.972648
188700, -64.972621
189550, -64.972596
190400, -64.972573
191250, -64.972552
192100, -64.972534
192950, -64.972518
193800, -64.972503
194650, -64.972491
195500, -64.972481
196350, -64.972472
197200, -64.972466
198050, -64.972461
198900, -64.972458
199750, -64.972457
200600, -64.972457
201450, -64.972459
202300, -64.972463
203150, -64.972468
204000, -64.972474
204850, -64.972482
205700, -64.972491
206550, -64.972502
207400, -64.972513
208250, -64.972526
209100, -64.972540
209950, -64.972555
210800, -64.972571
211650, -64.972588
212500, -64.972606
213350, -64.972625
214200, -64.972645
215050, -64.972665
215900, -64.972686
216750, -64.972707
217600, -64.972730
218450, -64.972752
219300, -64.972776
220150, -64.972799
221000, -64.972823
221850, -64.972848
222700, -64.972872
223550, -64.972897
224400, -64.972923
225250, -64.972948
226100, -64.972974
226950, -64.972999
227800, -64.973025
228650, -64.973051
229500, -64.973076
230350, -64.973102
231200, -64.973128
232050, -64.973153
232900, -64.973178
233750, -64.973204
234600, -64.973229
235450, -64.973253
236300, -64.973278
237150, -64.973302
238000, -64.973326
238850, -64.973350
239700, -64.973373
240550, -64.973396
241400, -64.973419
242250, -64.973441
243100, -64.973463
243950, -64.973484
244800, -64.973505
245650, -64.973525
246500, -64.973545
247350, -64.973565
248200, -64.973584
249050, -64.973602
249900, -64.973620
250750, -64.973637
251600, -64.973654
252450, -64.973671
253300, -64.973687
254150, -64.973702
255000, -64.973717
255850, -64.973731
256700, -64.973745
257550, -64.973758
258400, -64.973770
259250, -64.973782
260100, -64.973794
260950, -64.973805
261800, -64.973815
262650, -64.973825
263500, -64.973834
264350, -64.973843
265200, -64.973851
266050, -64.973859
266900, -64.973867
267750, -64.973873
268600, -64.973880
269450, -64.973885
270300, -64.973891
271150, -64.973895
272000, -64.973900
272850, -64.973904
273700, -64.973907
274550, -64.973910
275400, -64.973913
276250, -64.973915
277100, -64.973917
277950, -64.973918
278800, -64.973919
279650, -64.973920
280500, -64.973920
281350, -64.973920
282200, -64.973920
283050, -64.973919
283900, -64.973918
284750, -64.973917
285600, -64.973915
286450, -64.973913
287300, -64.973911
288150, -64.973909
289000, -64.973906
289850, -64.973903
290700, -64.973900
291550, -64.973897
292400, -64.973893
293250, -64.973889
294100, -64.973886
294950, -64.973881
295800, -64.973877
296650, -64.973873
297500, -64.973868
298350, -64.973864
299200, -64.973859
300050, -64.973854
300900, -64.973849
301750, -64.973845
302600, -64.973839
303450, -64.973834
304300, -64.973829
305150, -64.973824
306000, -64.973819
306850, -64.973813
307700, -64.973808
308550, -64.973803
309400, -64.973798
310250, -64.973792
311100, -64.973787
311950, -64.973782
312800, -64.973776
313650, -64.973771
314500, -64.973766
315350, -64.973761
316200, -64.973756
317050, -64.973751
317900, -64.973746
318750, -64.973741
319600, -64.973736
320450, -64.973731
321300, -64.973726
322150, -64.973722
323000, -64.973717
323850, -64.973713
324700, -64.973708
325550, -64.973704
326400, -64.973700
327250, -64.973696
328100, -64.973692
328950, -64.973688
329800, -64.973684
330650, -64.973681
331500, -64.973677
332350, -64.973674
333200, -64.973670
334050, -64.973667
334900, -64.973664
335750, -64.973661
336600, -64.973658
337450, -64.973655
338300, -64.973653
339150, -64.973650
340000, -64.973648
340850, -64.973646
341700, -64.973643
342550, -64.973641
343400, -64.973639
344250, -64.973637
345100, -64.973636
345950, -64.973634
346800, -64.973633
347650, -64.973631
