# ./result/hh_impl_0120.txt
# dt = 120 [usec]
# t [usec], V [mV]
0, -65.000000
120, -64.999638
240, -64.999278
360, -64.998921
480, -64.998567
600, -64.998215
720, -64.997866
840, -64.997519
960, -64.997175
1080, -64.996833
1200, -64.996493
1320, -64.996155
1440, -64.995819
1560, -64.995485
1680, -64.995153
1800, -64.994822
1920, -64.994494
2040, -64.994167
2160, -64.993842
2280, -64.993519
2400, -64.993198
2520, -64.992878
2640, -64.992559
2760, -64.992242
2880, -64.991927
3000, -64.991613
3120, -64.991301
3240, -64.990990
3360, -64.990680
3480, -64.990372
3600, -64.990065
3720, -64.989760
3840, -64.989456
3960, -64.989153
4080, -64.988851
4200, -64.988551
4320, -64.988252
4440, -64.987954
4560, -64.987658
4680, -64.987363
4800, -64.987069
4920, -64.986776
5040, -64.986484
5160, -64.986194
5280, -64.985904
5400, -64.985616
5520, -64.985329
5640, -64.985043
5760, -64.984759
5880, -64.984475
6000, -64.984193
6120, -64.983912
6240, -64.983631
6360, -64.983352
6480, -64.983075
6600, -64.982798
6720, -64.982522
6840, -64.982248
6960, -64.981974
7080, -64.981702
7200, -64.981431
7320, -64.981161
7440, -64.980892
7560, -64.980624
7680, -64.980357
7800, -64.980091
7920, -64.979826
8040, -64.979563
8160, -64.979300
8280, -64.979039
8400, -64.978779
8520, -64.978520
8640, -64.978261
8760, -64.978004
8880, -64.977749
9000, -64.977494
9120, -64.977240
9240, -64.976987
9360, -64.976736
9480, -64.976485
9600, -64.976236
9720, -64.975988
9840, -64.975740
9960, -64.975494
10080, -64.975249
10200, -64.975005
10320, -64.974762
10440, -64.974521
10560, -64.974280
10680, -64.974040
10800, -64.973802
10920, -64.973564
11040, -64.973328
11160, -64.973093
11280, -64.972859
11400, -64.972626
11520, -64.972394
11640, -64.972163
11760, -64.971933
11880, -64.971704
12000, -64.971477
12120, -64.971250
12240, -64.971025
12360, -64.970801
12480, -64.970578
12600, -64.970356
12720, -64.970135
12840, -64.969915
12960, -64.969696
13080, -64.969478
13200, -64.969262
13320, -64.969046
13440, -64.968832
13560, -64.968619
13680, -64.968407
13800, -64.968195
13920, -64.967986
14040, -64.967777
14160, -64.967569
14280, -64.967362
14400, -64.967157
14520, -64.966952
14640, -64.966749
14760, -64.966547
14880, -64.966346
15000, -64.966146
15120, -64.965947
15240, -64.965749
15360, -64.965552
15480, -64.965357
15600, -64.965162
15720, -64.964969
15840, -64.964777
15960, -64.964585
16080, -64.964395
16200, -64.964206
16320, -64.964019
16440, -64.963832
16560, -64.963646
16680, -64.963462
16800, -64.963278
16920, -64.963096
17040, -64.962915
17160, -64.962735
17280, -64.962556
17400, -64.962378
17520, -64.962201
17640, -64.962025
17760, -64.961851
17880, -64.961677
18000, -64.961505
18120, -64.961333
18240, -64.961163
18360, -64.960994
18480, -64.960826
18600, -64.960659
18720, -64.960493
18840, -64.960329
18960, -64.960165
19080, -64.960003
19200, -64.959841
19320, -64.959681
19440, -64.959522
19560, -64.959364
19680, -64.959206
19800, -64.959051
19920, -64.958896
20040, -64.958742
20160, -64.958589
20280, -64.958438
20400, -64.958287
20520, -64.958138
20640, -64.957989
20760, -64.957842
20880, -64.957696
21000, -64.957551
21120, -64.957407
21240, -64.957264
21360, -64.957122
21480, -64.956981
21600, -64.956842
21720, -64.956703
21840, -64.956565
21960, -64.956429
22080, -64.956293
22200, -64.956159
22320, -64.956026
22440, -64.955894
22560, -64.955762
22680, -64.955632
22800, -64.955503
22920, -64.955375
23040, -64.955249
23160, -64.955123
23280, -64.954998
23400, -64.954874
23520, -64.954752
23640, -64.954630
23760, -64.954509
23880, -64.954390
24000, -64.954271
24120, -64.954154
24240, -64.954038
24360, -64.953922
24480, -64.953808
24600, -64.953695
24720, -64.953582
24840, -64.953471
24960, -64.953361
25080, -64.953252
25200, -64.953144
25320, -64.953037
25440, -64.952931
25560, -64.952826
25680, -64.952722
25800, -64.952619
25920, -64.952517
26040, -64.952416
26160, -64.952316
26280, -64.952217
26400, -64.952119
26520, -64.952022
26640, -64.951927
26760, -64.951832
26880, -64.951738
27000, -64.951645
27120, -64.951553
27240, -64.951462
27360, -64.951372
27480, -64.951283
27600, -64.951196
27720, -64.951109
27840, -64.951023
27960, -64.950938
28080, -64.950854
28200, -64.950771
28320, -64.950689
28440, -64.950608
28560, -64.950528
28680, -64.950449
28800, -64.950371
28920, -64.950294
29040, -64.950217
29160, -64.950142
29280, -64.950068
29400, -64.949995
29520, -64.949922
29640, -64.949851
29760, -64.949781
29880, -64.949711
30000, -64.949643
30120, -64.949575
30240, -64.949508
30360, -64.949443
30480, -64.949378
30600, -64.949314
30720, -64.949251
30840, -64.949189
30960, -64.949128
31080, -64.949068
31200, -64.949008
31320, -64.948950
31440, -64.948893
31560, -64.948836
31680, -64.948781
31800, -64.948726
31920, -64.948672
32040, -64.948619
32160, -64.948567
32280, -64.948516
32400, -64.948466
32520, -64.948417
32640, -64.948368
32760, -64.948321
32880, -64.948274
33000, -64.948228
33120, -64.948184
33240, -64.948140
33360, -64.948096
33480, -64.948054
33600, -64.948013
33720, -64.947972
33840, -64.947933
33960, -64.947894
34080, -64.947856
34200, -64.947819
34320, -64.947782
34440, -64.947747
34560, -64.947712
34680, -64.947679
34800, -64.947646
34920, -64.947614
35040, -64.947582
35160, -64.947552
35280, -64.947522
35400, -64.947494
35520, -64.947466
35640, -64.947438
35760, -64.947412
35880, -64.947387
36000, -64.947362
36120, -64.947338
36240, -64.947315
36360, -64.947293
36480, -64.947271
36600, -64.947250
36720, -64.947230
36840, -64.947211
36960, -64.947193
37080, -64.947175
37200, -64.947159
37320, -64.947142
37440, -64.947127
37560, -64.947113
37680, -64.947099
37800, -64.947086
37920, -64.947074
38040, -64.947062
38160, -64.947052
38280, -64.947042
38400, -64.947033
38520, -64.947024
38640, -64.947016
38760, -64.947009
38880, -64.947003
39000, -64.946998
39120, -64.946993
39240, -64.946989
39360, -64.946985
39480, -64.946983
39600, -64.946981
39720, -64.946980
39840, -64.946979
39960, -64.946979
40080, -64.946980
40200, -64.946982
40320, -64.946984
40440, -64.946987
40560, -64.946991
40680, -64.946995
40800, -64.947000
40920, -64.947006
41040, -64.947012
41160, -64.947019
41280, -64.947027
41400, -64.947036
41520, -64.947045
41640, -64.947054
41760, -64.947065
41880, -64.947076
42000, -64.947088
42120, -64.947100
42240, -64.947113
42360, -64.947127
42480, -64.947141
42600, -64.947156
42720, -64.947171
42840, -64.947187
42960, -64.947204
43080, -64.947222
43200, -64.947240
43320, -64.947258
43440, -64.947277
43560, -64.947297
43680, -64.947318
43800, -64.947339
43920, -64.947360
44040, -64.947383
44160, -64.947406
44280, -64.947429
44400, -64.947453
44520, -64.947478
44640, -64.947503
44760, -64.947529
44880, -64.947555
45000, -64.947582
45120, -64.947609
45240, -64.947637
45360, -64.947666
45480, -64.947695
45600, -64.947725
45720, -64.947755
45840, -64.947786
45960, -64.947817
46080, -64.947849
46200, -64.947881
46320, -64.947914
46440, -64.947948
46560, -64.947981
46680, -64.948016
46800, -64.948051
46920, -64.948087
47040, -64.948123
47160, -64.948159
47280, -64.948196
47400, -64.948234
47520, -64.948272
47640, -64.948310
47760, -64.948349
47880, -64.948389
48000, -64.948429
48120, -64.948469
48240, -64.948510
48360, -64.948552
48480, -64.948594
48600, -64.948636
48720, -64.948679
48840, -64.948722
48960, -64.948766
49080, -64.948811
49200, -64.948855
49320, -64.948900
49440, -64.948946
49560, -64.948992
49680, -64.949039
49800, -64.949085
49920, -64.949133
50040, -64.949181
50160, -64.949229
50280, -64.949277
50400, -64.949327
50520, -64.949376
50640, -64.949426
50760, -64.949476
50880, -64.949527
51000, -64.949578
51120, -64.949630
51240, -64.949682
51360, -64.949734
51480, -64.949787
51600, -64.949840
51720, -64.949893
51840, -64.949947
51960, -64.950001
52080, -64.950056
52200, -64.950111
52320, -64.950166
52440, -64.950222
52560, -64.950278
52680, -64.950335
52800, -64.950391
52920, -64.950449
53040, -64.950506
53160, -64.950564
53280, -64.950622
53400, -64.950681
53520, -64.950740
53640, -64.950799
53760, -64.950859
53880, -64.950919
54000, -64.950979
54120, -64.951039
54240, -64.951100
54360, -64.951161
54480, -64.951223
54600, -64.951285
54720, -64.951347
54840, -64.951409
54960, -64.951472
55080, -64.951535
55200, -64.951598
55320, -64.951662
55440, -64.951726
55560, -64.951790
55680, -64.951855
55800, -64.951919
55920, -64.951984
56040, -64.952050
56160, -64.952115
56280, -64.952181
56400, -64.952247
56520, -64.952314
56640, -64.952380
56760, -64.952447
56880, -64.952514
57000, -64.952582
57120, -64.952650
57240, -64.952717
57360, -64.952786
57480, -64.952854
57600, -64.952923
57720, -64.952991
57840, -64.953061
57960, -64.953130
58080, -64.953199
58200, -64.953269
58320, -64.953339
58440, -64.953409
58560, -64.953480
58680, -64.953550
58800, -64.953621
58920, -64.953692
59040, -64.953764
59160, -64.953835
59280, -64.953907
59400, -64.953978
59520, -64.954051
59640, -64.954123
59760, -64.954195
59880, -64.954268
60000, -64.954341
60120, -64.954413
60240, -64.954487
60360, -64.954560
60480, -64.954633
60600, -64.954707
60720, -64.954781
60840, -64.954855
60960, -64.954929
61080, -64.955003
61200, -64.955077
61320, -64.955152
61440, -64.955227
61560, -64.955302
61680, -64.955377
61800, -64.955452
61920, -64.955527
62040, -64.955602
62160, -64.955678
62280, -64.955754
62400, -64.955830
62520, -64.955905
62640, -64.955982
62760, -64.956058
62880, -64.956134
63000, -64.956210
63120, -64.956287
63240, -64.956363
63360, -64.956440
63480, -64.956517
63600, -64.956594
63720, -64.956671
63840, -64.956748
63960, -64.956825
64080, -64.956903
64200, -64.956980
64320, -64.957058
64440, -64.957135
64560, -64.957213
64680, -64.957291
64800, -64.957368
64920, -64.957446
65040, -64.957524
65160, -64.957602
65280, -64.957680
65400, -64.957758
65520, -64.957837
65640, -64.957915
65760, -64.957993
65880, -64.958072
66000, -64.958150
66120, -64.958229
66240, -64.958307
66360, -64.958386
66480, -64.958464
66600, -64.958543
66720, -64.958622
66840, -64.958700
66960, -64.958779
67080, -64.958858
67200, -64.958937
67320, -64.959016
67440, -64.959095
67560, -64.959174
67680, -64.959253
67800, -64.959332
67920, -64.959410
68040, -64.959489
68160, -64.959568
68280, -64.959648
68400, -64.959727
68520, -64.959806
68640, -64.959885
68760, -64.959964
68880, -64.960043
69000, -64.960122
69120, -64.960201
69240, -64.960280
69360, -64.960359
69480, -64.960438
69600, -64.960517
69720, -64.960596
69840, -64.960675
69960, -64.960754
70080, -64.960833
70200, -64.960911
70320, -64.960990
70440, -64.961069
70560, -64.961148
70680, -64.961227
70800, -64.961306
70920, -64.961384
71040, -64.961463
71160, -64.961542
71280, -64.961620
71400, -64.961699
71520, -64.961777
71640, -64.961856
71760, -64.961934
71880, -64.962012
