# ./result/hh_runge_0030.txt
# dt = 30 [usec]
# t [usec], V [mV]
0, -65.000000
30, -64.999909
60, -64.999818
90, -64.999728
120, -64.999638
150, -64.999547
180, -64.999457
210, -64.999368
240, -64.999278
270, -64.999189
300, -64.999099
330, -64.999010
360, -64.998921
390, -64.998832
420, -64.998744
450, -64.998655
480, -64.998567
510, -64.998479
540, -64.998391
570, -64.998303
600, -64.998215
630, -64.998128
660, -64.998040
690, -64.997953
720, -64.997866
750, -64.997779
780, -64.997692
810, -64.997606
840, -64.997519
870, -64.997433
900, -64.997347
930, -64.997261
960, -64.997175
990, -64.997089
1020, -64.997003
1050, -64.996918
1080, -64.996832
1110, -64.996747
1140, -64.996662
1170, -64.996577
1200, -64.996492
1230, -64.996407
1260, -64.996323
1290, -64.996238
1320, -64.996154
1350, -64.996070
1380, -64.995986
1410, -64.995902
1440, -64.995818
1470, -64.995734
1500, -64.995651
1530, -64.995567
1560, -64.995484
1590, -64.995401
1620, -64.995318
1650, -64.995235
1680, -64.995152
1710, -64.995069
1740, -64.994986
1770, -64.994904
1800, -64.994821
1830, -64.994739
1860, -64.994657
1890, -64.994575
1920, -64.994493
1950, -64.994411
1980, -64.994329
2010, -64.994247
2040, -64.994166
2070, -64.994084
2100, -64.994003
2130, -64.993922
2160, -64.993841
2190, -64.993760
2220, -64.993679
2250, -64.993598
2280, -64.993517
2310, -64.993437
2340, -64.993356
2370, -64.993276
2400, -64.993196
2430, -64.993115
2460, -64.993035
2490, -64.992955
2520, -64.992875
2550, -64.992796
2580, -64.992716
2610, -64.992636
2640, -64.992557
2670, -64.992477
2700, -64.992398
2730, -64.992319
2760, -64.992240
2790, -64.992161
2820, -64.992082
2850, -64.992003
2880, -64.991924
2910, -64.991845
2940, -64.991767
2970, -64.991688
3000, -64.991610
3030, -64.991531
3060, -64.991453
3090, -64.991375
3120, -64.991297
3150, -64.991219
3180, -64.991141
3210, -64.991064
3240, -64.990986
3270, -64.990908
3300, -64.990831
3330, -64.990753
3360, -64.990676
3390, -64.990599
3420, -64.990521
3450, -64.990444
3480, -64.990367
3510, -64.990290
3540, -64.990214
3570, -64.990137
3600, -64.990060
3630, -64.989984
3660, -64.989907
3690, -64.989831
3720, -64.989754
3750, -64.989678
3780, -64.989602
3810, -64.989526
3840, -64.989450
3870, -64.989374
3900, -64.989298
3930, -64.989222
3960, -64.989147
3990, -64.989071
4020, -64.988996
4050, -64.988920
4080, -64.988845
4110, -64.988769
4140, -64.988694
4170, -64.988619
4200, -64.988544
4230, -64.988469
4260, -64.988394
4290, -64.988319
4320, -64.988245
4350, -64.988170
4380, -64.988095
4410, -64.988021
4440, -64.987946
4470, -64.987872
4500, -64.987798
4530, -64.987724
4560, -64.987650
4590, -64.987575
4620, -64.987502
4650, -64.987428
4680, -64.987354
4710, -64.987280
4740, -64.987206
4770, -64.987133
4800, -64.987059
4830, -64.986986
4860, -64.986912
4890, -64.986839
4920, -64.986766
4950, -64.986693
4980, -64.986620
5010, -64.986547
5040, -64.986474
5070, -64.986401
5100, -64.986328
5130, -64.986255
5160, -64.986183
5190, -64.986110
5220, -64.986038
5250, -64.985965
5280, -64.985893
5310, -64.985821
5340, -64.985749
5370, -64.985676
5400, -64.985604
5430, -64.985532
5460, -64.985461
5490, -64.985389
5520, -64.985317
5550, -64.985245
5580, -64.985174
5610, -64.985102
5640, -64.985031
5670, -64.984959
5700, -64.984888
5730, -64.984817
5760, -64.984745
5790, -64.984674
5820, -64.984603
5850, -64.984532
5880, -64.984461
5910, -64.984391
5940, -64.984320
5970, -64.984249
6000, -64.984179
6030, -64.984108
6060, -64.984037
6090, -64.983967
6120, -64.983897
6150, -64.983826
6180, -64.983756
6210, -64.983686
6240, -64.983616
6270, -64.983546
6300, -64.983476
6330, -64.983406
6360, -64.983337
6390, -64.983267
6420, -64.983197
6450, -64.983128
6480, -64.983058
6510, -64.982989
6540, -64.982919
6570, -64.982850
6600, -64.982781
6630, -64.982712
6660, -64.982643
6690, -64.982574
6720, -64.982505
6750, -64.982436
6780, -64.982367
6810, -64.982298
6840, -64.982230
6870, -64.982161
6900, -64.982092
6930, -64.982024
6960, -64.981956
6990, -64.981887
7020, -64.981819
7050, -64.981751
7080, -64.981683
7110, -64.981615
7140, -64.981547
7170, -64.981479
7200, -64.981411
7230, -64.981343
7260, -64.981275
7290, -64.981208
7320, -64.981140
7350, -64.981073
7380, -64.981005
7410, -64.980938
7440, -64.980871
7470, -64.980803
7500, -64.980736
7530, -64.980669
7560, -64.980602
7590, -64.980535
7620, -64.980468
7650, -64.980402
7680, -64.980335
7710, -64.980268
7740, -64.980202
7770, -64.980135
7800, -64.980069
7830, -64.980002
7860, -64.979936
7890, -64.979870
7920, -64.979803
7950, -64.979737
7980, -64.979671
8010, -64.979605
8040, -64.979539
8070, -64.979473
8100, -64.979408
8130, -64.979342
8160, -64.979276
8190, -64.979211
8220, -64.979145
8250, -64.979080
8280, -64.979014
8310, -64.978949
8340, -64.978884
8370, -64.978819
8400, -64.978753
8430, -64.978688
8460, -64.978623
8490, -64.978559
8520, -64.978494
8550, -64.978429
8580, -64.978364
8610, -64.978300
8640, -64.978235
8670, -64.978171
8700, -64.978106
8730, -64.978042
8760, -64.977978
8790, -64.977913
8820, -64.977849
8850, -64.977785
8880, -64.977721
8910, -64.977657
8940, -64.977593
8970, -64.977529
9000, -64.977466
9030, -64.977402
9060, -64.977338
9090, -64.977275
9120, -64.977211
9150, -64.977148
9180, -64.977085
9210, -64.977021
9240, -64.976958
9270, -64.976895
9300, -64.976832
9330, -64.976769
9360, -64.976706
9390, -64.976643
9420, -64.976580
9450, -64.976518
9480, -64.976455
9510, -64.976392
9540, -64.976330
9570, -64.976267
9600, -64.976205
9630, -64.976143
9660, -64.976081
9690, -64.976018
9720, -64.975956
9750, -64.975894
9780, -64.975832
9810, -64.975770
9840, -64.975709
9870, -64.975647
9900, -64.975585
9930, -64.975523
9960, -64.975462
9990, -64.975400
10020, -64.975339
10050, -64.975278
10080, -64.975216
10110, -64.975155
10140, -64.975094
10170, -64.975033
10200, -64.974972
10230, -64.974911
10260, -64.974850
10290, -64.974789
10320, -64.974728
10350, -64.974668
10380, -64.974607
10410, -64.974547
10440, -64.974486
10470, -64.974426
10500, -64.974365
10530, -64.974305
10560, -64.974245
10590, -64.974185
10620, -64.974125
10650, -64.974065
10680, -64.974005
10710, -64.973945
10740, -64.973885
10770, -64.973825
10800, -64.973766
10830, -64.973706
10860, -64.973647
10890, -64.973587
10920, -64.973528
10950, -64.973469
10980, -64.973409
11010, -64.973350
11040, -64.973291
11070, -64.973232
11100, -64.973173
11130, -64.973114
11160, -64.973055
11190, -64.972997
11220, -64.972938
11250, -64.972879
11280, -64.972821
11310, -64.972762
11340, -64.972704
11370, -64.972646
11400, -64.972587
11430, -64.972529
11460, -64.972471
11490, -64.972413
11520, -64.972355
11550, -64.972297
11580, -64.972239
11610, -64.972181
11640, -64.972123
11670, -64.972066
11700, -64.972008
11730, -64.971951
11760, -64.971893
11790, -64.971836
11820, -64.971779
11850, -64.971721
11880, -64.971664
11910, -64.971607
11940, -64.971550
11970, -64.971493
12000, -64.971436
12030, -64.971379
12060, -64.971322
12090, -64.971266
12120, -64.971209
12150, -64.971153
12180, -64.971096
12210, -64.971040
12240, -64.970983
12270, -64.970927
12300, -64.970871
12330, -64.970815
12360, -64.970759
12390, -64.970703
12420, -64.970647
12450, -64.970591
12480, -64.970535
12510, -64.970479
12540, -64.970424
12570, -64.970368
12600, -64.970312
12630, -64.970257
12660, -64.970202
12690, -64.970146
12720, -64.970091
12750, -64.970036
12780, -64.969981
12810, -64.969926
12840, -64.969871
12870, -64.969816
12900, -64.969761
12930, -64.969706
12960, -64.969652
12990, -64.969597
13020, -64.969542
13050, -64.969488
13080, -64.969433
13110, -64.969379
13140, -64.969325
13170, -64.969271
13200, -64.969216
13230, -64.969162
13260, -64.969108
13290, -64.969054
13320, -64.969001
13350, -64.968947
13380, -64.968893
13410, -64.968839
13440, -64.968786
13470, -64.968732
13500, -64.968679
13530, -64.968625
13560, -64.968572
13590, -64.968519
13620, -64.968466
13650, -64.968413
13680, -64.968360
13710, -64.968307
13740, -64.968254
13770, -64.968201
13800, -64.968148
13830, -64.968095
13860, -64.968043
13890, -64.967990
13920, -64.967938
13950, -64.967885
13980, -64.967833
14010, -64.967781
14040, -64.967728
14070, -64.967676
14100, -64.967624
14130, -64.967572
14160, -64.967520
14190, -64.967468
14220, -64.967417
14250, -64.967365
14280, -64.967313
14310, -64.967262
14340, -64.967210
14370, -64.967159
14400, -64.967107
14430, -64.967056
14460, -64.967005
14490, -64.966954
14520, -64.966903
14550, -64.966852
14580, -64.966801
14610, -64.966750
14640, -64.966699
14670, -64.966648
14700, -64.966597
14730, -64.966547
14760, -64.966496
14790, -64.966446
14820, -64.966395
14850, -64.966345
14880, -64.966295
14910, -64.966245
14940, -64.966195
14970, -64.966144
15000, -64.966094
15030, -64.966045
15060, -64.965995
15090, -64.965945
15120, -64.965895
15150, -64.965846
15180, -64.965796
15210, -64.965746
15240, -64.965697
15270, -64.965648
15300, -64.965598
15330, -64.965549
15360, -64.965500
15390, -64.965451
15420, -64.965402
15450, -64.965353
15480, -64.965304
15510, -64.965255
15540, -64.965207
15570, -64.965158
15600, -64.965109
15630, -64.965061
15660, -64.965012
15690, -64.964964
15720, -64.964916
15750, -64.964867
15780, -64.964819
15810, -64.964771
15840, -64.964723
15870, -64.964675
15900, -64.964627
15930, -64.964579
15960, -64.964531
15990, -64.964484
16020, -64.964436
16050, -64.964389
16080, -64.964341
16110, -64.964294
16140, -64.964246
16170, -64.964199
16200, -64.964152
16230, -64.964105
16260, -64.964058
16290, -64.964011
16320, -64.963964
16350, -64.963917
16380, -64.963870
16410, -64.963823
16440, -64.963777
16470, -64.963730
16500, -64.963684
16530, -64.963637
16560, -64.963591
16590, -64.963544
16620, -64.963498
16650, -64.963452
16680, -64.963406
16710, -64.963360
16740, -64.963314
16770, -64.963268
16800, -64.963222
16830, -64.963176
16860, -64.963131
16890, -64.963085
16920, -64.963040
16950, -64.962994
16980, -64.962949
17010, -64.962903
17040, -64.962858
17070, -64.962813
17100, -64.962768
17130, -64.962723
17160, -64.962678
17190, -64.962633
17220, -64.962588
17250, -64.962543
17280, -64.962498
17310, -64.962454
17340, -64.962409
17370, -64.962365
17400, -64.962320
17430, -64.962276
17460, -64.962232
